0157B1,03B8CF,055018,061366,0624BE,063384,067779,06EF42,07EC43,095294
98.12,96.0909,97.6591,180.19,-27.98,-92.6078,10.4618,91.9495,61.2442,28.81
96.05,93.9318,98.3997,177.6,-27.11,-93.3271,10.8301,92.3368,60.1925,29.1
95.46,91.0753,96.757,177.57,-27.13,-90.2746,10.3821,91.7074,58.3091,28.96
93.68,87.87,92.9684,165.01,-27.06,-90.7357,10.0735,89.1027,58.6724,28.17
97.25,89.5172,98.9219,167.87,-27.79,-89.8504,10.4219,91.4847,59.9822,28.4
97.52,90.9788,101.7135,176.21,-28.86,-88.2089,10.6708,92.6466,61.4162,29.14
96.32,85.3251,101.1343,171.485,-28.09,-89.0573,10.631,93.9248,61.1103,28.01
97.18,83.7892,110.2308,168.26,-27.99,-89.3432,10.8301,92.453,61.3206,27.88
99.22,84.2493,110.2118,175.43,-27.84,-91.9899,10.5812,93.7408,61.8178,28.56
102.24,85.5106,111.6456,179.35,-27.31,-90.0072,10.9694,93.46,62.8216,28.27
100.55,83.5296,109.1958,170.78,-27.59,-89.5184,10.5912,91.8236,62.401,28.11
103.13,85.3844,112.9939,177.6,-28.96,-91.3905,10.7703,95.5612,63.8159,28.73
105.15,85.9632,110.4587,180.15,-29.23,-92.3311,11.2879,96.7329,65.814,28.84
112.91,89.25,115.6716,168.67,-29.87,-91.0308,11.9847,99.6765,67.554,29.59
103.39,87.1726,115.8815,168.19,-30.07,-90.4498,11.7458,96.3165,65.2213,28.89
102.18,86.438,112.2555,167.47,-30.51,-91.8331,11.8155,95.3069,63.8924,27.43
102.11,86.7348,114.6029,165.89,-31.25,-91.2613,12.134,96.5398,64.5521,28.15
100.05,85.5106,111.8547,165.58,-30.1,-90.5513,11.8155,94.5595,63.3857,28.23
98.24,83.7892,110.3089,163.94,-30.41,-88.6238,11.4771,94.8507,63.7012,29.15
97.61,84.4941,110.1085,163.38,-30.49,-91.1968,11.1088,95.7049,63.7872,28.9
99.54,85.5328,111.9978,167.26,-31.05,-90.5974,11.5866,97.5784,64.8484,29.64
99.7,84.7389,110.0703,165.04,-31.01,-92.1836,11.8255,96.268,64.4469,29.12
101.16,85.1693,109.3833,172.36,-30.8,-92.2439,12.134,96.3359,64.1792,29.36
98.15,84.1995,106.4442,165.01,-30.09,-90.5271,11.5468,94.3071,63.7183,28.84
97.2,84.9437,106.0816,164.28,-31.19,-90.5456,11.2382,91.6181,62.8733,28.76
94.58,82.1321,103.1998,160.99,-28.9,-89.2464,11.0789,87.6187,62.086,28.21
95.79,81.899,103.6197,163.61,-29.31,-90.8055,10.9893,88.4729,61.8747,28.06
95.82,81.8765,104.4976,165.58,-28.96,-91.3344,10.84,89.5602,61.7307,28.34
93.5,81.042,104.6216,162.16,-28.99,-91.0003,10.5414,88.4924,61.289,27.73
93.76,81.3953,104.0396,166.11,-28.73,-90.193,10.7803,88.8127,60.9722,28.02
94.23,80.9969,104.0873,169.14,-29.41,-88.6246,10.5713,89.7737,60.1368,27.74
92.17,82.8538,103.6102,195.68,-29.23,-88.3184,10.5414,88.2303,59.8872,27.81
92.13,82.6207,103.238,198.22,-28.34,-90.5363,10.7106,88.1332,60.0408,28.27
94.9,83.6432,104.7552,210.11,-28.52,-91.6592,11.059,90.0649,60.0504,28.89
93.75,82.6433,103.5338,212.3,-27.73,-91.0003,11.0192,88.7836,60.1176,28.48
93.55,80.5082,100.6807,214.29,-28.36,-90.1837,10.8201,88.5021,58.975,26.47
93.92,80.5609,100.1368,214.33,-27.68,-89.8496,10.4817,91.0454,59.0806,27.41
92.25,79.3279,96.3199,211.25,-27.03,-88.0771,9.9441,92.1617,58.4853,26.39
90.73,78.2303,93.6957,207.73,-26.97,-85.887,9.6455,91.3463,57.9764,25.51
92.43,77.8093,89.0486,203.58,-25.62,-84.8105,9.1976,92.7927,55.6719,24.35
94.88,77.2681,91.6728,207.29,-26.79,-97.0881,9.0284,94.6662,56.1136,24.58
96.2,77.2681,88.6765,203.22,-26.6,89.8218,8.6899,93.4625,54.7981,23.33
100.04,78.3431,89.2776,206.56,-26.61,89.7568,8.9886,95.2099,56.0752,23.47
98.95,77.4485,85.6039,199.62,-25.96,85.4787,8.5108,94.5886,55.4895,22.92
97.71,78.4183,86.1096,204.68,-26.06,88.1978,8.5705,93.8023,56.3632,23.16
100.61,78.4033,90.2319,209.25,-25.83,90.2023,9.0781,94.0061,56.8241,24.03
98.7,76.3359,86.8444,205.01,-25.31,88.7546,8.9487,92.9092,55.1534,23.63
98.71,75.9299,85.7947,210.19,-24.62,86.8058,9.1777,93.4625,55.8447,23.25
98.13,76.0351,86.31,211.1,-24.62,87.1677,9.1876,94.0935,56.3152,23.36
98.04,76.2983,87.5505,210.14,-25.2,88.9309,8.7497,92.5015,56.6609,24.08
97.24,76.4862,86.9493,210.01,-25.73,89.6455,9.2872,92.8995,56.6033,24.36
100.25,77.5763,89.812,215.35,-26.16,90.0167,9.8446,92.9577,57.141,24.83
102.0,77.2681,89.8693,213.32,-26.75,88.4762,10.1134,92.4433,57.4291,25.06
103.29,79.0197,91.7586,217.5,-27.75,88.6432,10.1034,94.8313,58.5045,25.56
102.41,78.6138,91.9113,208.49,-27.9,89.7011,9.9242,95.2487,58.927,25.33
103.95,76.8696,92.2071,208.14,-27.55,87.7059,9.8048,94.5595,58.2548,24.88
101.1,76.8997,90.4991,201.61,-26.6,85.5993,9.6157,94.54,58.2452,24.91
102.06,76.3509,90.5849,204.51,-26.34,85.8035,9.6853,92.8413,58.0148,24.74
102.17,77.253,90.8617,212.03,-27.28,87.3904,9.8247,93.4043,58.6773,25.07
99.92,78.6062,93.9247,210.03,-27.43,88.3648,9.9939,96.8504,59.2342,25.11
97.83,78.4634,91.3102,207.89,-25.6,87.7245,9.5758,95.967,57.8804,25.03
102.4,79.8016,91.4915,211.26,-25.49,86.583,9.7252,95.1128,58.1972,25.51
102.51,79.5159,92.1594,208.4,-25.56,87.6038,9.5559,95.3749,57.6499,25.54
102.74,80.2752,93.3522,218.89,-24.89,88.8567,9.7052,96.5689,58.3316,25.66
102.3,79.8918,93.085,219.48,-25.15,90.7591,9.7948,99.1899,58.6869,25.34
104.3,79.7489,94.7549,218.19,-24.67,89.7847,9.755,98.8792,57.8515,24.92
103.81,78.734,92.8178,215.53,-24.35,89.4506,9.2872,104.4513,57.5827,24.57
106.96,78.5461,92.169,216.89,-24.24,88.2534,9.3369,103.4611,57.1218,24.13
106.21,78.9821,91.9304,209.9,-24.2,88.3834,9.2374,105.3346,57.1314,24.16
102.57,78.4634,90.604,210.53,-22.96,84.8013,8.9189,105.0434,56.1328,23.29
104.98,77.3733,90.0983,199.51,-23.0,85.4045,8.7198,102.966,56.0752,22.86
109.82,79.1851,91.5964,200.83,-23.39,86.0169,8.8591,105.1696,56.8529,23.35
105.45,79.8542,92.8465,182.58,-23.54,86.8614,9.1677,106.6063,57.333,23.85
102.05,79.576,88.9055,180.85,-23.3,85.8777,9.4464,105.2473,57.4579,23.87
103.63,77.4184,85.4512,176.4,-23.06,84.5878,9.4066,105.6462,57.0162,23.55
103.65,77.3057,84.0008,174.33,-22.77,84.2537,9.3867,106.6678,56.5361,23.58
104.0,76.5614,81.7106,171.59,-21.83,82.9174,9.3469,104.3229,60.3576,22.24
105.655,77.6966,83.9817,178.6,-22.72,84.031,9.9641,105.1986,60.7705,22.69
105.83,76.9373,84.9932,177.46,-23.29,83.7155,10.5613,105.5684,59.1862,22.51
106.62,75.7795,84.9359,178.0,-23.44,82.871,10.6011,106.0451,59.1766,22.68
110.19,75.8547,83.0561,180.74,-22.95,83.1401,10.4419,105.8311,60.0696,22.72
112.18,75.7645,83.4187,183.19,-23.34,83.4928,10.193,106.2008,59.4167,22.84
110.26,75.3811,82.9575,231.69,-23.96,83.799,9.7849,105.6559,59.2054,22.87
111.2,75.5465,85.6286,221.59,-24.45,85.3673,10.2627,106.8332,60.2616,23.33
113.4,73.6821,87.3869,212.8,-23.07,82.6947,10.3124,108.7792,59.5127,22.93
115.5,75.3134,90.9804,209.76,-24.23,83.2329,10.9893,109.2559,60.2616,23.76
118.15,76.0461,95.3425,206.28,-24.13,83.0086,11.2282,109.4408,61.371,23.84
116.25,75.5806,94.0934,203.53,-22.86,84.532,10.8898,107.2127,60.7825,24.44
115.01,77.626,95.5539,201.69,-22.76,84.5507,11.1685,105.1597,61.7472,24.74
114.99,76.8551,98.1673,200.89,-23.01,85.803,10.9893,103.0289,61.0623,24.6
116.75,74.0236,95.5923,198.55,-30.16,84.5413,10.621,103.564,60.3967,24.18
115.0,74.0694,96.0055,200.94,-28.56,87.4852,10.9495,103.9143,59.9626,24.21
120.11,73.9854,98.8207,201.77,-29.95,88.1301,11.2282,103.8267,60.6571,24.75
121.66,73.3138,100.6078,202.4,-31.4,87.7936,11.3278,104.4883,60.2423,25.26
120.58,71.215,100.1274,202.96,-31.03,86.5787,11.1785,103.9532,60.2809,25.03
122.77,71.9553,102.0779,208.74,-30.31,85.0647,11.7956,105.5489,59.9915,24.79
124.25,78.2518,106.1614,206.74,-31.8,86.2422,12.1241,108.9932,61.506,25.7
125.3,74.7792,104.7297,203.67,-31.6,85.7376,12.2435,108.4095,59.133,25.08
126.61,75.0158,107.6314,196.82,-32.73,86.3824,12.7114,112.1554,59.9722,25.67
121.23,77.0841,109.0919,191.76,-33.75,88.0273,12.9702,110.8711,60.387,26.71
124.25,76.9009,107.2567,192.33,-34.95,85.2142,12.6915,110.2095,60.0976,26.32
123.43,76.2445,107.1222,192.0,-34.24,87.4946,13.0299,110.9295,59.8565,26.12
126.57,77.2825,107.4489,196.24,-34.39,87.6535,14.6524,112.9241,61.0816,26.62
126.66,78.4121,109.1976,195.99,-34.99,89.8777,15.2696,112.6516,61.9594,27.16
126.42,77.8091,107.9293,193.03,-35.59,89.0833,15.5284,110.5306,61.4578,26.95
127.11,79.2287,107.2759,192.88,-36.24,88.0366,16.046,112.2916,62.4514,27.7
125.49,79.7858,105.7578,188.99,-36.08,90.1207,15.7275,113.2549,62.7794,27.44
125.78,78.0762,104.845,186.1,-36.24,87.3918,15.827,115.123,62.3549,27.35
124.83,77.4428,104.038,184.58,-36.9,85.8123,15.8171,115.7457,60.9465,27.1
130.15,76.649,102.7216,187.08,-37.21,87.1675,15.6877,116.3976,60.387,26.81
129.33,76.8704,102.4238,184.52,-36.93,87.8871,15.7275,117.1468,59.8468,25.85
