date,SP500
2023-03-01,3951.3899
2023-03-02,3981.3501
2023-03-03,4045.6399
2023-03-06,4048.4199
2023-03-07,3986.3701
2023-03-08,3992.01
2023-03-09,3918.3201
2023-03-10,3861.5901
2023-03-13,3855.76
2023-03-14,3919.29
2023-03-15,3891.9299
2023-03-16,3960.28
2023-03-17,3916.6399
2023-03-20,3951.5701
2023-03-21,4002.8701
2023-03-22,3936.97
2023-03-23,3948.72
2023-03-24,3970.99
2023-03-27,3977.53
2023-03-28,3971.27
2023-03-29,4027.8101
2023-03-30,4050.8301
2023-03-31,4109.3101
2023-04-03,4124.5098
2023-04-04,4100.6001
2023-04-05,4090.3799
2023-04-06,4105.02
2023-04-10,4109.1099
2023-04-11,4108.9399
2023-04-12,4091.95
2023-04-13,4146.2202
2023-04-14,4137.6401
2023-04-17,4151.3198
2023-04-18,4154.8701
2023-04-19,4154.52
2023-04-20,4129.79
2023-04-21,4133.52
2023-04-24,4137.04
2023-04-25,4071.6299
2023-04-26,4055.99
2023-04-27,4135.3501
2023-04-28,4169.48
2023-05-01,4167.8701
2023-05-02,4119.5801
2023-05-03,4090.75
2023-05-04,4061.22
2023-05-05,4136.25
2023-05-08,4138.1201
2023-05-09,4119.1699
2023-05-10,4137.6401
2023-05-11,4130.6201
2023-05-12,4124.0801
2023-05-15,4136.2798
2023-05-16,4109.8999
2023-05-17,4158.77
2023-05-18,4198.0498
2023-05-19,4191.98
2023-05-22,4192.6299
2023-05-23,4145.5801
2023-05-24,4115.2402
2023-05-25,4151.2798
2023-05-26,4205.4502
2023-05-30,4205.52
2023-05-31,4179.8301
2023-06-01,4221.02
2023-06-02,4282.3701
2023-06-05,4273.79
2023-06-06,4283.8501
2023-06-07,4267.52
2023-06-08,4293.9302
2023-06-09,4298.8599
2023-06-12,4338.9302
2023-06-13,4369.0098
2023-06-14,4372.5898
2023-06-15,4425.8398
2023-06-16,4409.5898
2023-06-20,4388.71
2023-06-21,4365.6899
2023-06-22,4381.8901
2023-06-23,4348.3301
2023-06-26,4328.8198
2023-06-27,4378.4102
2023-06-28,4376.8599
2023-06-29,4396.4399
2023-06-30,4450.3799
2023-07-03,4455.5898
2023-07-05,4446.8198
2023-07-06,4411.5898
2023-07-07,4398.9502
2023-07-10,4409.5298
2023-07-11,4439.2598
2023-07-12,4472.1602
2023-07-13,4510.04
2023-07-14,4505.4199
2023-07-17,4522.79
2023-07-18,4554.98
2023-07-19,4565.7202
2023-07-20,4534.8701
2023-07-21,4536.3398
2023-07-24,4554.6401
2023-07-25,4567.46
2023-07-26,4566.75
2023-07-27,4537.4102
2023-07-28,4582.23
2023-07-31,4588.96
2023-08-01,4576.73
2023-08-02,4513.3901
2023-08-03,4501.8901
2023-08-04,4478.0298
2023-08-07,4518.4399
2023-08-08,4499.3799
2023-08-09,4467.71
