date,03B8CF,06EF42,07EC43,0157B1,0624BE,055018,061366,063384,067779,095294
2023-03-01,82.8538,88.2303,59.8872,92.17,29.23,103.6102,195.68,88.3184,10.5414,27.81
2023-03-02,82.6207,88.1332,60.0408,92.13,28.34,103238,198.22,90.5363,10.7106,28.27
2023-03-03,83.6432,90.0649,60.0504,94.9,28.52,104.7552,210.11,91.6592,11059,28.89
2023-03-06,82.6433,88.7836,60.1176,93.75,27.73,103.5338,212.3,91.0003,11.0192,28.48
2023-03-07,80.5082,88.5021,58975,93.55,28.36,100.6807,214.29,90.1837,10.8201,26.47
2023-03-08,80.5609,91.0454,59.0806,93.92,27.68,100.1368,214.33,89.8496,10.4817,27.41
2023-03-09,79.3279,92.1617,58.4853,92.25,27.03,96.3199,211.25,88.0771,9.9441,26.39
2023-03-10,78.2303,91.3463,57.9764,90.73,26.97,93.6957,207.73,85887,9.6455,25.51
2023-03-13,77.8093,92.7927,55.6719,92.43,25.62,89.0486,203.58,84.8105,9.1976,24.35
2023-03-14,77.2681,94.6662,56.1136,94.88,26.79,91.6728,207.29,97.0881,9.0284,24.58
2023-03-15,77.2681,93.4625,54.7981,96.2,26.6,88.6765,203.22,89.8218,8.6899,23.33
2023-03-16,78.3431,95.2099,56.0752,100.04,26.61,89.2776,206.56,89.7568,8.9886,23.47
2023-03-17,77.4485,94.5886,55.4895,98.95,25.96,85.6039,199.62,85.4787,8.5108,22.92
2023-03-20,78.4183,93.8023,56.3632,97.71,26.06,86.1096,204.68,88.1978,8.5705,23.16
2023-03-21,78.4033,94.0061,56.8241,100.61,25.83,90.2319,209.25,90.2023,9.0781,24.03
2023-03-22,76.3359,92.9092,55.1534,98.7,25.31,86.8444,205.01,88.7546,8.9487,23.63
2023-03-23,75.9299,93.4625,55.8447,98.71,24.62,85.7947,210.19,86.8058,9.1777,23.25
2023-03-24,76.0351,94.0935,56.3152,98.13,24.62,86.31,211.1,87.1677,9.1876,23.36
2023-03-27,76.2983,92.5015,56.6609,98.04,25.2,87.5505,210.14,88.9309,8.7497,24.08
2023-03-28,76.4862,92.8995,56.6033,97.24,25.73,86.9493,210.01,89.6455,9.2872,24.36
2023-03-29,77.5763,92.9577,57141,100.25,26.16,89812,215.35,90.0167,9.8446,24.83
2023-03-30,77.2681,92.4433,57.4291,102.0,26.75,89.8693,213.32,88.4762,10.1134,25.06
2023-03-31,79.0197,94.8313,58.5045,103.29,27.75,91.7586,217.5,88.6432,10.1034,25.56
2023-04-03,78.6138,95.2487,58927,102.41,27.9,91.9113,208.49,89.7011,9.9242,25.33
2023-04-04,76.8696,94.5595,58.2548,103.95,27.55,92.2071,208.14,87.7059,9.8048,24.88
2023-04-05,76.8997,94.54,58.2452,101.1,26.6,90.4991,201.61,85.5993,9.6157,24.91
2023-04-06,76.3509,92.8413,58.0148,102.06,26.34,90.5849,204.51,85.8035,9.6853,24.74
2023-04-10,77253,93.4043,58.6773,102.17,27.28,90.8617,212.03,87.3904,9.8247,25.07
2023-04-11,78.6062,96.8504,59.2342,99.92,27.43,93.9247,210.03,88.3648,9.9939,25.11
2023-04-12,78.4634,95967,57.8804,97.83,25.6,91.3102,207.89,87.7245,9.5758,25.03
2023-04-13,79.8016,95.1128,58.1972,102.4,25.49,91.4915,211.26,86583,9.7252,25.51
2023-04-14,79.5159,95.3749,57.6499,102.51,25.56,92.1594,208.4,87.6038,9.5559,25.54
2023-04-17,80.2752,96.5689,58.3316,102.74,24.89,93.3522,218.89,88.8567,9.7052,25.66
2023-04-18,79.8918,99.1899,58.6869,102.3,25.15,93085,219.48,90.7591,9.7948,25.34
2023-04-19,79.7489,98.8792,57.8515,104.3,24.67,94.7549,218.19,89.7847,9755,24.92
2023-04-20,78734,104.4513,57.5827,103.81,24.35,92.8178,215.53,89.4506,9.2872,24.57
2023-04-21,78.5461,103.4611,57.1218,106.96,24.24,92169,216.89,88.2534,9.3369,24.13
2023-04-24,78.9821,105.3346,57.1314,106.21,24.2,91.9304,209.9,88.3834,9.2374,24.16
2023-04-25,78.4634,105.0434,56.1328,102.57,22.96,90604,210.53,84.8013,8.9189,23.29
2023-04-26,77.3733,102966,56.0752,104.98,23.0,90.0983,199.51,85.4045,8.7198,22.86
2023-04-27,79.1851,105.1696,56.8529,109.82,23.39,91.5964,200.83,86.0169,8.8591,23.35
2023-04-28,79.8542,106.6063,57333,105.45,23.54,92.8465,182.58,86.8614,9.1677,23.85
2023-05-01,79576,105.2473,57.4579,102.05,23.3,88.9055,180.85,85.8777,9.4464,23.87
2023-05-02,77.4184,105.6462,57.0162,103.63,23.06,85.4512,176.4,84.5878,9.4066,23.55
2023-05-03,77.3057,106.6678,56.5361,103.65,22.77,84.0008,174.33,84.2537,9.3867,23.58
2023-05-04,76.5614,104.3229,60.3576,104.0,21.83,81.7106,171.59,82.9174,9.3469,22.24
2023-05-05,77.6966,105.1986,60.7705,105655,22.72,83.9817,178.6,84031,9.9641,22.69
2023-05-08,76.9373,105.5684,59.1862,105.83,23.29,84.9932,177.46,83.7155,10.5613,22.51
2023-05-09,75.7795,106.0451,59.1766,106.62,23.44,84.9359,178.0,82871,10.6011,22.68
2023-05-10,75.8547,105.8311,60.0696,110.19,22.95,83.0561,180.74,83.1401,10.4419,22.72
2023-05-11,75.7645,106.2008,59.4167,112.18,23.34,83.4187,183.19,83.4928,10193,22.84
2023-05-12,75.3811,105.6559,59.2054,110.26,23.96,82.9575,231.69,83799,9.7849,22.87
2023-05-15,75.5465,106.8332,60.2616,111.2,24.45,85.6286,221.59,85.3673,10.2627,23.33
2023-05-16,73.6821,108.7792,59.5127,113.4,23.07,87.3869,212.8,82.6947,10.3124,22.93
2023-05-17,75.3134,109.2559,60.2616,115.5,24.23,90.9804,209.76,83.2329,10.9893,23.76
2023-05-18,76.0461,109.4408,61371,118.15,24.13,95.3425,206.28,83.0086,11.2282,23.84
2023-05-19,75.5806,107.2127,60.7825,116.25,22.86,94.0934,203.53,84532,10.8898,24.44
2023-05-22,77626,105.1597,61.7472,115.01,22.76,95.5539,201.69,84.5507,11.1685,24.74
2023-05-23,76.8551,103.0289,61.0623,114.99,23.01,98.1673,200.89,85803,10.9893,24.6
2023-05-24,74.0236,103564,60.3967,116.75,30.16,95.5923,198.55,84.5413,10621,24.18
2023-05-25,74.0694,103.9143,59.9626,115.0,28.56,96.0055,200.94,87.4852,10.9495,24.21
2023-05-26,73.9854,103.8267,60.6571,120.11,29.95,98.8207,201.77,88.1301,11.2282,24.75
2023-05-30,73.3138,104.4883,60.2423,121.66,31.4,100.6078,202.4,87.7936,11.3278,25.26
2023-05-31,71215,103.9532,60.2809,120.58,31.03,100.1274,202.96,86.5787,11.1785,25.03
2023-06-01,71.9553,105.5489,59.9915,122.77,30.31,102.0779,208.74,85.0647,11.7956,24.79
2023-06-02,78.2518,108.9932,61506,124.25,31.8,106.1614,206.74,86.2422,12.1241,25.7
2023-06-05,74.7792,108.4095,59133,125.3,31.6,104.7297,203.67,85.7376,12.2435,25.08
2023-06-06,75.0158,112.1554,59.9722,126.61,32.73,107.6314,196.82,86.3824,12.7114,25.67
2023-06-07,77.0841,110.8711,60387,121.23,33.75,109.0919,191.76,88.0273,12.9702,26.71
2023-06-08,76.9009,110.2095,60.0976,124.25,34.95,107.2567,192.33,85.2142,12.6915,26.32
2023-06-09,76.2445,110.9295,59.8565,123.43,34.24,107.1222,192.0,87.4946,13.0299,26.12
2023-06-12,77.2825,112.9241,61.0816,126.57,34.39,107.4489,196.24,87.6535,14.6524,26.62
2023-06-13,78.4121,112.6516,61.9594,126.66,34.99,109.1976,195.99,89.8777,15.2696,27.16
2023-06-14,77.8091,110.5306,61.4578,126.42,35.59,107.9293,193.03,89.0833,15.5284,26.95
2023-06-15,79.2287,112.2916,62.4514,127.11,36.24,107.2759,192.88,88.0366,16046,27.7
2023-06-16,79.7858,113.2549,62.7794,125.49,36.08,105.7578,188.99,90.1207,15.7275,27.44
2023-06-20,78.0762,115123,62.3549,125.78,36.24,104845,186.1,87.3918,15827,27.35
2023-06-21,77.4428,115.7457,60.9465,124.83,36.9,104038,184.58,85.8123,15.8171,27.1
