date,SMB,HML,CMA
2023-03-01,4,0.0062,0.0061
2023-03-02,-5,-0.0041,0.0018
2023-03-03,-0.0008,-0.0052,-0.0065
2023-03-06,-0.0161,-0.0009,-0.0013
2023-03-07,0.0062,-0.0066,-0.0017
2023-03-08,0.0008,-0.0039,-0.0013
2023-03-09,-0.0068,-0.0067,0.0063
2023-03-10,-0.0138,0.0081,0.0107
2023-03-13,-0.0117,-0.0352,-0.0061
2023-03-14,0.0,-4,-0.0044
2023-03-15,-0.0052,-0.0182,-0.0043
2023-03-16,0.0001,-0.0019,-0.0071
2023-03-17,-0.0106,-0.0156,-0.0024
2023-03-20,-0.0036,0.0074,0.0071
2023-03-21,0.0047,0.0067,-0.0107
2023-03-22,-0.0081,-0.0047,2
2023-03-23,-0.0044,-0.0154,-0.0084
2023-03-24,0.0017,0.0072,0.0038
2023-03-27,0.0051,0.0101,0.0036
2023-03-28,-0.0002,0.0075,0.0054
2023-03-29,-0.0035,-0.0053,-0.0052
2023-03-30,-0.0062,-0.0058,-0.0011
2023-03-31,0.0051,-0.0077,-0.0077
2023-04-03,-0.0019,0.0078,0.0071
2023-04-04,-0.0113,-0.0073,0.0
2023-04-05,-0.0101,14,0.0117
2023-04-06,-0.0003,-0.0053,-0.0014
2023-04-10,0.0086,0.0028,-0.0011
2023-04-11,0.0071,0.0058,0.0012
2023-04-12,-0.0043,0.0037,4
2023-04-13,0.0016,-0.0117,-0.0068
2023-04-14,-0.0076,2,0.0011
2023-04-17,7,-2,-0.0026
2023-04-18,-4,-0.0029,0.0018
2023-04-19,0.0026,0.0039,0.0012
2023-04-20,0.0012,-0.0026,0.0048
2023-04-21,0.0009,-0.0091,-1
2023-04-24,-0.0027,0.0048,0.0029
2023-04-25,-0.0083,0.0011,0.0088
2023-04-26,-0.0005,-0.0076,-0.0033
2023-04-27,-6,0.0,-2
2023-04-28,0.0022,0.0018,0.0022
2023-05-01,0.0017,-0.0079,0.0018
2023-05-02,-0.0073,-0.0139,0.0004
2023-05-03,0.0087,-0.0102,-0.0043
2023-05-04,-0.0047,-0.01,-0.0027
2023-05-05,5,0.0061,-0.0064
2023-05-08,-0.0038,-0.0027,-0.0039
2023-05-09,0.0011,-0.0005,-0.0039
2023-05-10,2,-0.0131,-0.0078
2023-05-11,-0.0051,-0.0007,0.0011
2023-05-12,-0.0011,0.0035,0.0047
2023-05-15,0.0078,0.0001,-0.0046
