"date","asset","adjClose"
"2023-03-01","00067A",480.0857
"2023-03-02","00067A",479.7084
"2023-03-03","00067A",484.0143
"2023-03-06","00067A",482.9112
"2023-03-07","00067A",479.9793
"2023-03-08","00067A",473.4672
"2023-03-09","00067A",470.5837
"2023-03-10","00067A",464.1296
"2023-03-13","00067A",466.8583
"2023-03-14","00067A",466.3648
"2023-03-15","00067A",468.2033
"2023-03-16","00067A",478.373
"2023-03-17","00067A",479.5052
"2023-03-20","00067A",478.3827
"2023-03-21","00067A",484.6529
"2023-03-22","00067A",482.1951
"2023-03-23","00067A",475.4411
"2023-03-24","00067A",486.1624
"2023-03-27","00067A",490.5748
"2023-03-28","00067A",467.7582
"2023-03-29","00067A",470.0225
"2023-03-30","00067A",473.4105
"2023-03-31","00067A",470.5992
"2023-04-03","00067A",494.6304
"2023-04-04","00067A",487.9028
"2023-04-05","00067A",500.4273
"2023-04-06","00067A",504.0528
"2023-04-10","00067A",508.5023
"2023-04-11","00067A",517.4207
"2023-04-12","00067A",515.763
"2023-04-13","00067A",518.8748
"2023-04-14","00067A",507.7947
"2023-04-17","00067A",502.938
"2023-04-18","00067A",496.986
"2023-04-19","00067A",477.8115
"2023-04-20","00067A",475.3008
"2023-04-21","00067A",476.1732
"2023-04-24","00067A",486.3712
"2023-04-25","00067A",486.3324
"2023-04-26","00067A",489.9967
"2023-04-27","00067A",509.2003
"2023-04-28","00067A",514.2508
"2023-05-01","00067A",518.7488
"2023-05-02","00067A",516.7421
"2023-05-03","00067A",513.5722
"2023-05-04","00067A",512.3217
"2023-05-05","00067A",518.6421
"2023-05-08","00067A",519.5534
"2023-05-09","00067A",513.9697
"2023-05-10","00067A",513.4171
"2023-05-11","00067A",512.7967
"2023-05-12","00067A",511.2069
"2023-05-15","00067A",506.5054
"2023-05-16","00067A",502.4824
"2023-05-17","00067A",504.363
"2023-05-18","00067A",498.1396
"2023-05-19","00067A",497.8003
"2023-05-22","00067A",498.2462
"2023-05-23","00067A",491.412
"2023-05-24","00067A",491.1212
"2023-05-25","00067A",484.762
"2023-05-26","00067A",481.3982
"2023-05-30","00067A",479.9441
"2023-05-31","00067A",486.5069
"2023-06-01","00067A",499.3804
"2023-06-02","00067A",504.838
"2023-06-05","00067A",507.9013
"2023-06-06","00067A",495.4737
"2023-06-07","00067A",489.2406
"2023-06-08","00067A",494.2232
"2023-06-09","00067A",497.6258
"2023-06-12","00067A",497.5192
"2023-06-13","00067A",496.9375
"2023-06-14","00067A",441.0717
"2023-06-15","00067A",449.6508
"2023-06-16","00067A",432.0079
"2023-06-20","00067A",433.0354
"2023-06-21","00067A",438.8518
"2023-06-22","00067A",442.4676
"2023-06-23","00067A",432.2987
"2023-06-26","00067A",432.7349
"2023-06-27","00067A",432.2696
"2023-06-28","00067A",431.213
"2023-06-29","00067A",431.1353
"2023-06-30","00067A",434.3115
"2023-07-03","00067A",433.4762
"2023-07-05","00067A",432.2329
"2023-07-06","00067A",428.3476
"2023-07-07","00067A",417.8086
"2023-07-10","00067A",422.2379
"2023-07-11","00067A",424.6856
"2023-07-12","00067A",412.8937
"2023-07-13","00067A",412.1263
"2023-07-14","00067A",422.4613
"2023-07-17","00067A",421.9562
"2023-07-18","00067A",428.095
"2023-07-19","00067A",434.4378
"2023-07-20","00067A",434.5835
"2023-07-21","00067A",443.7917
"2023-07-24","00067A",440.4406
"2023-07-25","00067A",441.3148
"2023-07-26","00067A",435.3606
"2023-07-27","00067A",438.0706
"2023-07-28","00067A",440.3047
"2023-07-31","00067A",443.7335
"2023-08-01","00067A",444.9768
"2023-08-02","00067A",469.8817
"2023-08-03","00067A",473.1842
"2023-08-04","00067A",470.3965
"2023-08-07","00067A",480.4887
"2023-08-08","00067A",479.0802
"2023-08-09","00067A",479.2356
"2023-08-10","00067A",480.8383
"2023-08-11","00067A",479.7504
"2023-08-14","00067A",482.9558
"2023-08-15","00067A",481.1103
"2023-08-16","00067A",480.4789
"2023-08-17","00067A",474.7287
"2023-08-18","00067A",476.3314
"2023-08-21","00067A",477.1958
"2023-08-22","00067A",470.3091
"2023-08-23","00067A",467.6282
"2023-08-24","00067A",468.7938
"2023-08-25","00067A",465.2096
"2023-08-28","00067A",466.8609
"2023-08-29","00067A",467.502
"2023-08-30","00067A",461.6351
"2023-08-31","00067A",448.3959
"2023-09-01","00067A",447.4051
"2023-09-05","00067A",456.7396
"2023-09-06","00067A",451.7372
"2023-09-07","00067A",458.4491
"2023-09-08","00067A",454.321
"2023-09-11","00067A",453.7867
"2023-09-12","00067A",455.6226
"2023-09-13","00067A",458.9542
"2023-09-14","00067A",458.0509
"2023-09-15","00067A",457.2738
"2023-09-18","00067A",460.4307
"2023-09-19","00067A",460.217
"2023-09-20","00067A",470.8725
"2023-09-21","00067A",479.8961
"2023-09-22","00067A",479.8961
"2023-09-25","00067A",486.7052
"2023-09-26","00067A",478.8665
"2023-09-27","00067A",479.4202
"2023-09-28","00067A",481.8821
"2023-09-29","00067A",473.426
"2023-10-02","00067A",478.5055
"2023-10-03","00067A",475.2943
"2023-10-04","00067A",472.7059
"2023-10-05","00067A",475.8198
"2023-10-06","00067A",484.7624
"2023-10-09","00067A",488.0417
"2023-10-10","00067A",486.9324
"2023-10-11","00067A",480.1403
"2023-10-12","00067A",486.3583
"2023-10-13","00067A",492.3525
"2023-10-16","00067A",510.1016
"2023-10-17","00067A",505.8784
"2023-10-18","00067A",507.6494
"2023-10-19","00067A",508.6517
"2023-10-20","00067A",507.124
"2023-10-23","00067A",501.6066
"2023-10-24","00067A",502.4531
