Date,188394,20BEEA,263A36,370C50,39FB23,3FB145,408089,485445,523A06,57B174,61E975,662682,8E0E32,911AB8,93F9E0,986AF6,9A602D,9C5BA5,9D6A24,B6082A,BB992A,C87ECC,D4070C,D4463B,D6534D,DA48E4,DF8855,FEE4B0
2023-03-16,103.5809,101.6547,326.4638,100.2092,118.3776,55.2065,214.5307,77.5826,42.3001,162.5023,68.1024,163.2676,30.3263,42.6803,27.4115,139.2009,153.7404,40.8973,26.4567,119.8042,205.6911,69.3662,73.6166,34.6282,325.5197,260.7269,9.5918,50.5139
2023-03-17,102.9688,99.3972,318.9365,98.9033,114.5798,54.8673,211.5807,76.7022,41.5606,157.4281,66.1169,158.2852,29.7927,44.9085,26.7502,137.9565,149.6831,39.557,25.7713,118.0883,199.8255,69.0725,71.1555,34.7529,315.0824,256.1491,9.5118,49.8936
2023-03-20,105.4439,102.9939,326.9656,98.9033,117.2177,55.8462,213.7518,77.7402,42.5909,159.6279,67.6456,161.2423,30.4663,44.5822,27.2967,141.5462,151.8596,40.0343,27.0089,123.8202,204.3397,71.0791,72.8711,35.9231,319.2593,260.3166,9.7074,50.1456
2023-03-21,107.8125,106.2271,329.3686,100.987,118.4244,56.7088,214.9688,78.4631,43.2556,162.4339,69.6217,163.9046,30.8249,43.4448,27.5897,145.5953,153.3171,41.65,27.1898,123.3194,213.6653,72.1721,73.2843,36.7001,329.3919,259.9437,9.7696,51.0469
2023-03-22,104.7342,102.6112,327.2938,96.906,115.6275,55.6718,205.7586,76.9524,42.6906,160.0581,66.3592,162.2692,30.0901,43.4821,27.0076,141.2398,151.1989,40.3648,27.1612,121.2418,207.1288,70.7773,71.425,36.2972,322.7089,256.7272,9.6096,51.0469
2023-03-23,103.7583,102.8313,329.3976,95.5905,115.5339,55.0611,203.5388,78.1598,42.915,160.8304,65.25,161.2898,29.8365,44.5542,27.0709,141.6706,152.5884,39.456,27.047,121.5757,206.6783,69.9372,70.7154,36.2493,327.7113,248.8769,9.6363,50.9112
2023-03-24,104.4059,103.6826,332.698,97.5398,117.3393,55.0902,205.7002,78.8711,43.023,162.4925,64.5975,161.3944,30.1601,45.2628,27.166,142.2928,155.8143,38.9144,27.2374,123.4956,208.739,70.6142,71.4789,36.4603,331.0331,249.5575,9.7163,51.3377
2023-03-27,104.956,105.8827,334.9658,99.153,117.8631,55.9237,208.2802,83.8783,43.2058,162.1014,65.1195,163.5908,30.1776,44.9458,27.3006,142.915,155.6685,39.7314,27.4468,122.6609,209.7837,71.3972,72.422,36.4315,333.2247,251.907,9.7518,51.0275
2023-03-28,105.7899,104.4861,335.2264,99.1914,118.0689,56.3114,206.1286,83.3729,43.9619,164.2915,65.5017,164.0853,30.3176,45.3653,27.5541,141.9003,155.6394,40.0711,27.6944,124.7663,209.0936,73.4609,73.419,36.8056,340.1436,255.0303,9.8052,51.6575
2023-03-29,107.3157,105.6627,337.5039,101.7072,119.9585,58.0948,209.6335,83.6818,44.5352,166.198,67.3939,164.6653,30.6762,45.067,28.0491,143.5085,157.6313,41.4848,28.3227,126.7604,215.1318,74.6845,74.1735,37.832,345.1951,257.6315,9.8763,52.239
2023-03-30,107.9397,106.9255,339.2506,102.1585,121.4458,58.1045,211.2886,84.7207,44.8675,166.3446,67.0024,165.5971,30.8249,45.5331,27.9699,145.3815,158.6515,41.5491,28.4084,127.6044,213.1957,75.7775,74.407,38.561,344.4679,260.7921,9.9029,52.6073
2023-03-31,108.8667,108.5675,343.0143,104.5591,124.9536,58.4534,218.8339,86.0684,45.5488,167.733,67.571,170.1326,31.5422,45.701,28.4213,148.3686,160.8377,42.1182,29.0081,128.7638,211.8539,76.585,75.7543,39.2421,348.9494,269.4611,10.1163,53.4117
2023-04-03,109.3838,108.6731,345.5813,104.7511,130.9965,59.1222,220.6545,84.7955,45.9726,169.0724,68.671,169.5906,31.4547,46.1205,28.4688,148.3494,161.3138,42.7425,29.0557,130.1272,209.3524,77.6536,75.8172,39.5202,349.8732,271.178,10.0452,53.3827
2023-04-04,108.3854,99.1857,345.2918,102.0241,129.3875,58.5406,217.3443,84.3089,45.0835,165.0932,67.9252,166.7476,30.9299,47.8732,27.8075,138.1489,160.1964,42.4028,28.5607,128.8565,200.8606,76.2098,73.7424,38.6186,341.5686,267.6222,9.9741,52.5782
2023-04-05,108.6439,99.1185,343.1783,102.5714,129.9768,58.8508,216.9452,84.5335,45.3993,160.4003,68.1956,168.0978,31.0261,48.5445,27.863,137.8031,161.3916,42.4946,28.5988,130.2107,188.535,76.895,73.5627,38.6761,331.2592,266.3369,10.0541,51.5412
2023-04-06,104.2226,99.3202,344.1144,101.8128,129.1537,57.9591,218.0648,85.5911,45.4159,161.2509,66.6109,168.1739,31.2972,48.5258,27.5778,139.7817,162.3049,40.0894,28.6178,130.9156,186.5894,76.9602,72.6915,38.6473,332.7628,264.5731,10.0007,51.0082
2023-04-10,106.1391,102.0953,346.0252,103.1187,129.4062,58.434,218.4542,86.1714,46.3714,162.3068,68.7082,168.4591,31.3935,47.6308,27.6452,141.04,161.2555,41.2278,28.6749,130.7301,191.5158,77.466,73.5897,38.4939,334.6203,265.9147,9.8585,50.4363
2023-04-11,107.6544,103.7182,345.7261,104.5495,130.3042,59.0543,220.3041,86.8827,46.6871,162.8543,72.297,169.3814,31.962,46.54,27.9897,142.8457,160.4588,43.0546,29.0367,132.854,193.3272,77.8657,74.0208,39.4531,340.2419,267.6973,9.7696,50.7755
2023-04-12,109.1966,102.3354,346.7876,105.2984,129.0975,59.8878,219.8173,86.6206,47.2688,163.5875,71.8309,168.4781,31.9008,46.3442,28.0491,141.8276,159.594,42.9261,28.7321,131.8802,193.3176,79.2931,74.5597,39.4435,340.1043,269.4236,9.7963,49.1861
2023-04-13,110.4,101.0198,349.3064,106.5755,130.2949,60.7892,221.4432,88.923,47.2937,165.6798,71.8123,170.7126,31.8396,47.5655,28.2233,141.0304,162.0231,42.9169,28.9129,132.0842,194.5732,78.3551,74.892,41.3491,342.7283,270.3336,9.9474,50.1747
2023-04-14,109.3659,100.3092,347.0964,106.3163,129.4811,60.2174,219.6907,88.5954,46.9447,165.3083,71.8496,169.1912,31.411,46.1671,27.9026,140.4157,159.7106,43.1372,28.7321,130.9248,195.5221,78.9995,74.3891,41.5513,343.1902,268.5229,9.8674,48.4883
2023-04-17,110.81,101.8264,349.6827,106.2106,131.829,60.8377,224.6073,90.1678,47.2771,168.0458,72.7165,170.085,31.7871,45.1882,28.1758,141.8372,159.3025,43.5687,29.189,132.5294,197.3431,79.3421,74.8382,40.5501,347.5047,268.5135,9.8674,49.6319
2023-04-18,111.1487,103.2188,352.1146,105.1256,132.4651,61.0315,223.994,89.8964,47.1774,168.5151,69.9666,170.4844,31.9183,45.5518,28.3659,145.1125,159.6329,42.4487,29.1986,132.5201,196.7393,79.2442,74.1016,41.3587,347.3671,269.9959,9.9207,50.3297
2023-04-19,110.3108,101.9993,352.5392,104.7703,131.4735,60.3337,227.421,90.355,46.8949,169.6688,69.3514,171.1595,31.9883,44.9924,28.1996,141.7796,159.9924,41.7143,29.3509,132.0471,195.3112,78.6161,74.1915,40.3286,350.6594,272.5478,9.8496,50.6108
2023-04-20,109.7403,107.0311,354.5079,102.5522,132.3154,59.9848,227.5962,89.3067,46.28,168.5933,69.4074,169.2388,31.9708,44.6381,27.8352,149.5789,159.6912,41.1451,29.5794,132.9468,185.0271,77.5231,73.4639,39.8184,350.3646,274.3867,9.7963,50.0196
2023-04-21,109.8384,105.6771,353.4078,100.4397,132.8112,59.5874,227.4697,90.2052,45.5904,167.3223,69.3887,169.3339,31.5247,44.3958,27.6768,147.3889,160.9057,40.4383,29.3128,132.8448,166.5292,76.5361,73.0507,38.1817,348.4875,272.6135,9.8318,50.4848
2023-04-24,110.3465,104.7072,355.1449,101.4767,133.7279,59.6165,230.3126,90.8417,46.0224,167.5863,69.5379,170.3132,31.8221,44.7687,27.9382,148.9161,161.3721,40.7871,29.3794,134.4029,176.3149,77.6046,73.8501,38.0566,349.9911,275.1748,9.8407,50.6689
2023-04-25,108.7776,99.8675,354.2281,96.5124,131.3613,58.6666,228.5893,89.4097,43.6212,165.8851,67.4219,162.4308,30.3438,44.9365,26.9244,142.1062,159.6426,39.1714,28.1037,124.6364,169.3183,74.2277,71.7304,36.3429,346.4531,272.0224,9.6185,50.1456
2023-04-26,106.8076,98.1006,352.2401,96.4643,128.7514,57.804,222.8549,88.3334,43.6877,162.9325,66.6669,157.0016,30.2301,43.9576,26.6789,138.7924,157.9713,38.7216,27.6944,122.5125,173.6696,73.9014,71.8741,35.8905,338.5908,268.0257,9.5296,49.661
2023-04-27,108.5548,100.2228,352.8577,99.297,129.9581,58.8023,226.5448,89.1008,44.4521,169.1213,65.3525,161.1282,28.8743,45.0017,27.2056,142.4327,161.4498,38.6298,27.9419,123.644,178.2701,74.4887,72.3591,36.0734,351.8879,273.3734,9.7074,51.0857
2023-04-28,110.1593,99.8195,356.5345,102.7097,131.2022,59.2385,231.2667,90.7481,45.1999,171.2135,66.7228,165.9014,28.9618,44.1906,27.6095,142.3271,163.0822,39.3367,28.4941,125.4526,177.7525,77.1723,75.6914,36.497,356.9493,276.1693,9.7518,51.5412
2023-05-01,110.3197,100.2804,359.2945,101.1532,130.7345,59.568,225.8146,90.5234,44.9589,173.5502,67.0677,166.0915,29.0755,43.7525,27.4749,142.1638,163.9956,40.016,28.6845,128.1331,169.9029,76.2832,74.1016,36.2274,361.0475,277.8768,9.8318,51.9773
2023-05-02,103.7769,99.0417,357.1039,98.6396,130.5849,58.7732,225.7562,89.99,44.6847,175.271,69.0345,164.8364,28.2707,44.806,25.7522,140.7711,169.3397,39.7773,27.9133,123.8666,166.1937,74.9944,72.2244,35.2358,365.4504,274.5462,9.7074,50.7465
2023-05-03,101.6107,98.0046,350.7925,97.3538,129.4062,58.1529,225.4057,88.2304,44.0366,174.6355,68.8387,162.3833,28.2532,44.2746,25.5028,140.4157,168.4263,39.355,27.5135,123.9594,165.7241,72.9878,71.4789,34.9759,362.2072,275.7283,8.8984,50.6496
2023-05-04,99.7388,92.5407,348.1869,97.7889,126.7496,55.129,221.3361,88.9885,44.3358,185.9865,65.3152,159.8826,27.8071,46.0646,25.3681,134.3549,167.4741,35.4259,26.9803,123.4029,168.3502,73.5996,70.8142,33.9072,382.5805,273.0826,9.0762,57.4338
2023-05-05,101.165,94.298,353.5622,102.381,129.1163,56.4568,224.7436,90.2707,45.2082,189.252,64.9144,163.6194,28.297,45.4213,25.9423,136.6985,168.747,35.9033,27.0851,125.5547,172.2319,75.3696,72.7094,35.1106,390.8162,278.3647,9.2629,56.7942
2023-05-08,99.8012,93.9907,352.8867,102.4874,129.7243,55.8171,224.8312,90.9165,44.9922,188.5285,62.9942,163.3912,28.3232,45.0204,25.6493,136.0262,167.9308,34.7191,26.828,126.1668,178.1551,74.8395,72.5298,35.1973,389.5386,277.3139,9.2984,55.9219
2023-05-09,98.4998,93.645,351.9506,101.0662,128.8598,55.3422,223.293,84.5241,44.5933,188.8022,63.19,161.7652,28.0958,44.8899,25.4513,134.6335,167.9502,34.1224,26.352,123.6811,187.059,74.4479,71.9729,35.2936,391.8285,262.6404,9.1651,55.2726
2023-05-10,98.5711,92.6463,356.0037,99.5097,128.5967,55.7978,223.9258,81.1922,44.4105,191.7158,63.19,164.0282,27.8946,44.5729,25.3998,132.1842,169.9712,33.8745,26.5519,123.6162,186.4264,73.8525,71.2723,34.8892,394.03,263.588,9.2362,54.8849
