Date,0157B1,034B61,067779,06EF42,143C52,1791E7,1BC12C,24D81E,34A959,385DD4,39692D,3CBA2A,40B903,4595EF,45CF4C,56CC0A,5DE5A5,5E7E82,64CEBB,66E04A,69E8E1,6E1E61,751A74,76E80F,7D5FD6,8C6C1B,8E8E6E,91C82E,954E30,972356,97693A,9BBFA5,9E91C6,A5151E,A6213D,A63820,AA7FE0,AA98ED,ACDF88,B4C673,BB0787,BDD12C,C15DB3,C29715,C9B932,CF7292,D64C6D,D69D42,D78CCD,DC2B00,DD3BB1,ECF709,F6DCE4,FC1F9D,FF4C20
2023-03-16,100.04,2404.5949,8.9886,95.2099,139.01,39.6443,33.5438,301.9514,44.71,156.4203,94.1457,93.2188,71.623,69.4583,32.8603,13.11,336.2942,66.7395,112.17,137.1609,96.49,54.6347,63.619,188.286,54.6456,100.2242,41.95,96.5381,252.4669,39.251,297.4,136.3343,104.1908,50.5841,9.7867,32.5028,58.48,42.3381,267.5257,120.8659,38.0994,107.6496,150.589,5478.12,51.7359,513.84,113.9631,106.3251,19.7288,199.4547,184.13,2413.32,146.26,44.6389,104.43
2023-03-17,98.95,2405.5212,8.5108,94.5886,137.15,38.6308,32.3517,298.8063,43.19,154.1292,92.4631,91.613,71.5078,68.7067,32.0959,12.58,328.9046,66.4279,107.2,135.3861,94.35,53.1913,60.6867,186.1077,54.2735,99.0787,41.25,95.8896,249.3224,39.8286,294.74,134.6478,103.8029,49.9372,9.3561,32.1768,56.26,42.3205,269.0745,119.7239,37.8588,106.8097,148.2204,5503.0,51.9449,506.46,113.7175,105.1309,19.7564,196.3889,180.13,2365.0,142.95,44.0926,105.34
2023-03-20,97.71,2457.6359,8.5705,93.8023,141.08,38.8758,32.5843,305.0677,43.47,158.2744,93.5914,92.6805,72.3911,69.2517,32.4594,12.37,329.9822,67.6399,108.81,136.8635,95.07,54.404,60.1669,185.5702,54.2147,99.1563,41.79,94.7871,252.6256,40.7566,293.45,136.5791,104.3848,50.5933,9.2568,32.2046,56.76,42.6555,269.8863,121.6398,37.5996,108.9384,150.6714,5494.47,52.2013,510.23,114.4827,106.2114,19.7749,197.7996,183.25,2391.17,146.4304,44.0451,108.36
2023-03-21,100.61,2534.1028,9.0781,94.0061,140.98,39.8724,34.0187,305.5101,44.45,162.8565,95.759,93.3209,73.3128,73.3133,33.345,12.88,333.6097,67.3282,110.98,139.6695,98.75,54.642,62.1676,185.5702,54.6652,101.0979,42.68,95.8618,252.131,41.4289,298.81,138.2112,104.9181,51.0276,9.7039,32.5592,59.12,43.8458,270.0449,121.3284,38.3679,108.9218,151.7414,5482.24,52.3913,515.91,118.6482,108.5525,19.9224,197.5739,197.58,2394.95,145.955,44.7053,112.71
2023-03-22,98.7,2521.2121,8.9487,92.9092,138.63,39.3825,33.0011,300.3548,42.89,158.4395,92.6808,92.0029,72.1319,72.215,32.562,12.47,321.7651,66.531,107.76,136.4768,94.58,53.9313,59.5785,180.6478,54.7729,99.6126,41.59,95.0465,249.9476,40.5861,303.73,136.9599,102.5519,50.4085,9.5052,32.4494,57.46,43.1404,263.6817,120.4695,37.6829,105.737,148.7325,5426.07,51.7074,510.0,112.8769,106.0503,19.037,194.1413,191.15,2349.3,141.2546,43.4097,110.96
2023-03-23,98.71,2502.0141,9.1777,93.4625,135.46,39.3741,32.7006,303.3845,42.09,155.3039,91.701,91.3531,71.6518,73.7067,32.0213,12.57,312.9707,65.3482,107.7,134.5234,95.07,53.4253,60.5592,178.875,55.2234,98.6612,41.23,95.7691,251.5805,40.1979,308.22,136.4793,102.9883,49.5029,9.4555,32.6506,56.73,42.8847,264.8946,120.5073,37.6366,104.8473,141.1052,5354.43,51.9828,515.74,114.2654,105.6238,18.8525,190.7652,192.22,2307.82,140.0436,42.9867,110.09
2023-03-24,98.13,2463.1548,9.1876,94.0935,137.39,40.0159,32.6715,299.6142,42.4,151.9838,89.6126,91.2789,71.8823,73.7917,33.1959,12.52,312.9323,65.1117,107.18,130.7159,95.4,54.0507,59.6765,178.6581,55.4878,98.37,41.11,96.1119,253.1761,40.3968,313.45,138.3472,103.3568,49.7155,9.53,32.485,57.78,43.2374,264.0642,120.6488,37.2571,105.7454,143.4739,5413.0,51.6219,513.98,114.0198,105.292,18.7142,193.5489,190.41,2329.4,140.1333,43.1005,106.85
2023-03-27,98.04,2472.0048,8.7497,92.5015,138.73,40.0582,33.3887,309.9152,43.55,152.0032,89.8006,91.5759,72.3719,74.69,34.2026,12.2,315.6552,64.6999,108.1,131.1819,95.45,54.6027,59.3235,179.6671,55.3801,97.6904,41.73,94.6667,255.5182,40.3399,317.22,139.4534,103.1241,50.2422,9.5383,32.9564,58.27,44.2337,262.4314,121.083,37.7107,106.2942,145.4402,5375.45,51.5364,520.45,111.2805,106.8938,19.2215,193.7369,191.81,2368.55,142.9679,43.5861,104.88
2023-03-28,97.24,2508.282,9.2872,92.8995,141.66,40.2609,33.1658,311.8484,43.74,154.3331,92.087,91.6316,73.1688,75.2717,35.4611,12.45,315.0683,64.2356,107.98,131.3901,96.23,55.2567,60.6769,179.3088,56.0852,100.1271,41.81,94.259,257.3937,40.5956,320.31,140.0609,103.9678,51.0554,9.6045,33.058,58.27,44.507,262.0115,121.2812,38.627,105.6289,147.5528,5413.56,51.8404,531.79,111.3372,109.5666,19.5627,195.7306,189.19,2405.22,143.3178,43.5368,105.06
2023-03-29,100.25,2534.5463,9.8446,92.9577,141.95,40.6578,34.6002,315.0705,45.18,157.391,94.0566,93.3952,73.4952,75.2883,34.7247,13.16,324.6228,65.5848,109.56,134.7614,96.8,55.472,62.9129,180.9967,55.9677,99.4767,43.08,94.9353,258.8773,41.3153,361.04,140.2422,105.7521,51.5821,9.9771,33.1344,59.53,45.8472,264.3814,121.1962,38.8214,107.0592,148.6502,5433.99,52.1443,526.33,113.812,110.5334,20.0608,194.7996,193.88,2395.37,141.8287,43.7132,107.67
2023-03-30,102.0,2571.9865,10.1134,92.4433,140.81,40.7169,34.8813,315.1378,46.87,157.9152,95.1453,94.0449,73.8408,74.66,33.8111,13.27,322.4483,65.9878,109.9,136.2983,96.36,56.1,63.4719,181.6662,55.6054,100.1174,43.33,95.0094,259.2039,41.5804,358.09,139.5259,105.7036,51.3788,10.1758,33.4434,61.1,46.1646,266.2475,122.0646,38.9418,107.0176,150.3238,5417.11,52.7522,536.37,113.4436,109.0166,20.4943,195.3169,195.28,2406.19,143.7663,43.7037,108.78
2023-03-31,103.29,2614.0191,10.1034,94.8313,143.55,41.477,35.55,317.2731,48.81,161.1867,96.0361,96.6531,75.233,74.925,34.1001,13.45,329.4915,68.5723,112.19,139.6795,100.22,56.5987,64.0407,188.5689,57.0743,103.0298,44.42,97.3812,260.9021,42.016,364.19,140.6865,108.5256,52.4507,10.4325,34.1658,64.28,47.3372,275.3538,124.6601,39.9044,109.7783,153.0126,5572.19,54.5663,545.67,115.8428,111.2966,21.1307,197.9218,207.46,2458.15,148.5743,44.5858,111.33
2023-04-03,102.41,2626.6142,9.9242,95.2487,148.01,41.1308,35.1527,319.8219,49.28,159.6529,94.0962,97.3214,75.713,75.59,34.0255,13.35,326.4221,68.7825,110.49,138.3904,99.19,57.8633,63.011,192.3597,57.7794,105.4568,44.25,97.5109,263.2628,41.9308,367.4,139.535,109.9027,52.3953,10.4987,34.3546,64.58,46.6319,277.789,125.7266,39.7008,109.5205,153.8997,5576.7,55.7726,551.19,114.9266,112.1074,20.7987,199.2478,194.77,2511.54,148.9601,45.8416,108.25
2023-04-04,103.95,2600.1429,9.8048,94.5595,148.89,40.0582,34.639,316.4074,48.84,159.5753,92.8095,96.5325,75.5018,75.8767,34.0721,13.24,315.0972,68.1956,107.22,137.8253,95.54,57.6293,62.5697,191.4261,57.2114,105.3597,44.03,96.1953,263.3935,41.9782,366.8,138.8096,108.7099,51.5082,10.5319,34.6968,63.5,46.1734,275.2045,124.207,39.0251,108.4728,150.7537,5526.81,54.7658,546.17,116.8346,110.2186,20.5773,201.4296,192.58,2502.05,148.9511,45.4489,109.64
2023-04-05,101.1,2577.7419,9.6157,94.54,148.7,39.1883,34.009,315.84,45.82,157.8085,90.5529,97.3679,74.9258,74.8633,33.2611,12.92,309.6512,66.8288,104.5,138.3111,93.61,57.2233,60.7946,188.0597,57.4171,103.3501,43.18,96.3806,263.1509,41.5236,364.81,138.7824,105.3157,50.1498,10.2918,33.9484,62.44,45.7943,269.3358,124.5279,37.4792,107.6412,148.3027,5542.84,53.7115,534.12,114.1993,108.5969,20.0516,199.3795,185.52,2494.44,148.2245,44.489,105.27
2023-04-06,102.06,2546.4515,9.6853,92.8413,149.04,38.9011,33.5244,317.9559,45.29,158.2841,90.7607,97.1637,74.9354,74.3983,33.1213,13.08,313.9233,65.7775,103.02,139.4415,92.59,57.4087,60.0983,187.2487,56.6434,103.1172,42.98,94.5555,263.9626,41.2585,364.33,136.8174,105.82,50.2791,10.209,33.7042,64.33,45.7855,269.2798,124.6789,37.146,105.9782,148.4124,5468.08,54.1484,520.95,113.557,106.8989,19.6919,199.7839,185.06,2530.68,148.5295,44.6977,104.06
2023-04-10,102.17,2535.3347,9.8247,93.4043,152.93,39.6274,34.6293,317.1192,45.47,158.0317,88.8901,97.2193,75.2522,76.3433,34.8738,13.35,322.4964,65.6724,104.34,139.8084,94.72,57.9833,61.1476,188.3897,57.1233,103.5249,43.18,95.0465,264.7931,41.0975,363.37,138.4625,106.5958,51.3511,10.5319,33.8312,65.86,46.0323,271.6683,123.7351,37.8217,107.3336,150.6988,5479.87,54.1579,529.46,115.1533,111.5255,20.1069,204.4142,184.51,2554.44,151.5973,45.2516,103.04
2023-04-11,99.92,2529.323,9.9939,96.8504,153.07,40.2862,34.3192,319.7449,45.92,159.0899,90.8498,98.1475,75.2138,76.205,35.2654,13.54,332.7437,65.9265,104.97,140.552,100.12,58.0693,62.2166,189.8608,58.5237,102.059,43.36,97.7425,265.4463,41.1922,365.81,140.2721,104.7145,52.1827,10.6561,34.2812,72.21,46.2087,274.0942,124.1787,37.8032,111.4413,151.2384,5578.01,53.1226,526.75,116.4663,114.8739,20.4482,206.1683,186.79,2559.54,152.1176,45.5267,103.64
2023-04-12,97.83,2510.3812,9.5758,95.967,150.17,40.5987,33.5535,313.974,44.12,156.7503,88.4249,98.0176,73.6392,76.295,33.9043,12.73,321.2744,64.1042,104.19,137.1907,97.83,58.49,60.3925,188.3803,58.5139,99.8844,42.98,97.6406,266.2114,40.5104,363.54,138.6819,102.8525,52.0349,10.4905,33.9154,68.58,45.23,270.9872,124.5657,38.2198,111.3831,152.3816,5590.22,53.0751,523.13,116.8063,112.8038,19.8948,203.9238,180.54,2598.89,146.6726,44.1305,100.16
2023-04-13,102.4,2591.5689,9.7252,95.1128,148.88,40.6409,33.4663,319.8988,44.33,160.6625,90.0283,99.3078,74.1193,77.185,33.4196,12.87,327.4709,64.1217,106.04,141.2064,98.54,59.1967,60.7161,189.9834,57.9851,101.1465,43.6,96.2046,269.7292,41.2964,364.38,140.263,106.9255,51.7022,10.3166,34.3578,69.01,46.4114,272.5827,127.0951,38.8122,111.7573,150.1958,5579.47,54.6423,528.4,119.4228,114.4541,20.1254,204.235,185.9,2618.65,146.4573,44.7793,100.72
2023-04-14,102.51,2611.506,9.5559,95.3749,147.9,41.1561,33.4275,317.7636,43.53,163.1865,91.0873,99.7533,74.1097,77.84,33.7365,12.64,317.7624,64.2882,107.07,143.0904,97.94,59.4847,60.7553,190.6529,58.8959,101.5445,43.55,97.2793,269.6452,41.2206,368.25,139.3034,107.6335,52.0441,10.3663,34.766,69.46,46.1998,272.62,127.3028,38.9973,112.2146,150.964,5632.55,55.3262,534.66,118.9694,114.54,20.7341,201.0853,185.0,2638.32,144.4211,45.1378,102.53
2023-04-17,102.74,2637.317,9.7052,96.5689,146.68,40.8605,34.0575,317.3019,44.35,164.7883,92.4235,100.533,74.5129,77.9833,33.0374,12.95,324.6709,64.2268,107.6,143.9233,99.17,59.8187,61.942,193.3121,59.3365,101.1367,43.88,98.2428,269.9531,41.4573,368.38,138.691,107.9729,51.9055,10.4987,35.5,69.6,46.7906,275.615,129.3981,38.3679,113.9026,152.0889,5693.04,55.2502,534.33,119.1961,112.6035,20.6972,201.3588,187.04,2665.41,145.946,45.7619,103.12
