Date,013528,063384,14C7B2,14ED2B,1D1B07,2B7A40,2BA977,2E61CC,2F98A5,3DE4D1,543900,5CC29D,713810,719477,789ADD,78F9ED,7A10FF,859D62,95DC1F,9AF3DC,9CA619,9D2790,9D56F2,9F03CF,AD1ACF,B8EF97,C356AC,C4A432,CA1620,D09938,E61E5B,EB6965,FA40E2,FACF19,KENVUE
2023-03-16,159.4758,89.7568,32.2665,224.8245,203.3473,70.3572,36.3588,132.3505,137.6449,113.0024,48.8797,92.4566,44.6115,140.9012,82.9819,46.6884,61.7178,59.7464,44.1199,55.4247,71.501,68.5828,68.2965,226.8436,52.7341,467.8492,32.6328,35.0307,83.0587,51.7,53.3468,68.3619,31.0061,29.1758,
2023-03-17,158.2289,85.4787,32.0459,222.2941,198.8683,68.3239,35.6894,132.3876,135.9177,111.6312,48.2649,91.5348,44.9728,140.1096,82.4992,45.2645,61.2199,59.0473,43.7922,55.2285,70.8968,67.1468,67.7092,225.1307,52.7431,467.6476,32.1627,34.3062,82.5362,51.495,51.9419,67.6591,30.695,28.7393,
2023-03-20,160.4515,88.1978,32.3769,224.4359,203.1116,70.7805,36.2801,134.4253,138.2266,114.4004,48.8978,93.1997,45.4567,142.3479,82.7502,46.1261,62.4462,59.7368,44.3258,55.4673,71.661,68.2054,68.3245,226.4177,52.7701,469.7984,32.4276,34.6729,83.851,52.275,52.9225,68.4837,31.2394,28.9837,
2023-03-21,160.831,90.2023,32.3125,226.0281,203.8376,71.4797,36.3824,133.4528,137.9134,113.9908,48.8978,93.7359,45.3019,142.6026,81.6111,46.1714,62.5384,59.7368,44.7096,55.5782,71.7498,69.2273,67.8677,225.1678,52.4638,471.2962,32.5131,34.4493,83.3286,51.895,53.441,67.8277,31.4728,29.2894,
2023-03-22,159.4758,88.7546,31.8713,224.8908,201.9234,70.8173,35.5556,133.3694,135.9983,113.4477,48.4547,93.7924,45.0115,140.701,81.3118,45.337,62.105,59.7847,44.9717,55.0152,70.9679,68.1778,67.2336,224.7511,51.5358,468.0989,32.1114,34.1541,81.5108,51.175,53.4033,67.5935,31.3864,28.3812,
2023-03-23,158.6988,86.8058,31.3565,226.2366,202.725,69.1244,34.9524,133.1842,135.2108,113.412,48.3734,92.9175,45.3761,140.6737,81.3987,44.9471,61.9575,59.1718,45.4211,55.109,72.9938,67.4137,66.3852,225.8992,50.5267,468.3293,31.9832,33.9483,79.6576,51.195,53.3939,67.3123,31.6024,28.2327,
2023-03-24,161.8068,87.1677,32.0551,229.0513,205.5161,70.486,35.3625,135.898,138.4324,116.1812,49.3137,94.2439,45.7471,143.3032,83.0012,45.981,63.654,60.2827,45.9172,55.8512,75.3484,68.7117,67.9422,229.4917,51.4097,475.5401,32.6328,34.5745,80.0812,52.04,53.5353,68.8023,32.1555,28.5558,
2023-03-27,162.1682,88.9309,32.2665,229.2219,206.9682,71.5349,35.6199,135.1848,139.8643,116.0388,49.4493,95.6454,46.5117,143.5398,83.0784,46.3256,63.7646,60.388,45.5241,56.1583,75.4195,70.0005,69.0518,232.3064,52.2476,473.5718,32.9917,34.8608,81.7137,52.335,54.0162,69.4864,32.1382,28.7655,
2023-03-28,162.114,89.6455,32.3033,227.8572,206.7702,72.271,35.6762,135.5646,140.0164,117.1518,49.5036,95.6454,46.331,142.4752,83.4066,46.6158,64.1611,60.3114,45.7955,56.5508,75.3218,70.2951,75.6903,234.1582,52.1214,467.3787,32.8123,35.0307,83.1521,51.6,53.8088,69.8144,32.2159,29.5339,
2023-03-29,163.2343,90.0167,32.4412,231.8375,210.9192,72.6758,35.8049,135.9814,141.0097,117.9621,49.386,96.4826,46.5311,141.4835,83.7348,47.1146,64.8802,60.9913,45.9079,56.7214,75.5528,71.2433,75.7089,233.8804,52.4818,471.3154,33.0516,35.156,83.5845,52.15,54.5536,69.7863,32.4579,29.822,
2023-03-30,163.3789,88.4762,32.4782,233.8182,212.079,73.1174,35.7888,136.5742,140.9829,118.434,49.1871,96.7554,46.9956,140.519,83.8314,46.8788,64.5048,60.8477,45.9266,56.8664,75.4906,70.8291,75.5318,234.5193,52.5449,471.9011,33.1969,35.1023,85.2611,52.49,54.9119,70.5172,32.311,30.2415,
2023-03-31,164.707,88.6432,32.6169,233.5718,213.0031,73.2922,35.8853,137.7227,140.8308,119.5114,49.7115,98.3169,47.5699,143.9765,85.347,46.8697,64.6346,61.5467,46.2168,57.1223,75.9349,71.096,77.583,235.5563,53.4459,477.0764,33.0516,35.6748,85.8171,54.01,55.8076,70.4235,32.4579,30.1975,
2023-04-03,164.8877,89.7011,32.7186,233.8846,212.5599,73.9915,36.1748,138.4822,141.0724,120.2148,49.8652,98.0347,47.9699,142.6208,85.7911,47.2688,65.0981,61.3648,46.7504,57.2503,76.3436,71.9522,78.618,238.1025,53.527,477.23,33.2054,36.1579,86.3906,53.58,56.1659,70.6203,32.3542,30.9659,
2023-04-04,164.3004,87.7059,32.6908,231.7712,205.7801,73.0346,35.7486,139.1491,139.3721,119.7251,49.7115,97.4327,47.4989,141.8474,85.7524,47.1055,65.3762,60.2348,46.3011,57.4038,76.4769,71.5655,79.3825,238.9451,53.7702,477.9021,33.0003,36.5873,86.073,53.16,55.5247,70.0299,32.4752,31.3067,
2023-04-05,165.9177,85.5993,32.7278,226.9094,208.807,73.0622,35.7325,140.1032,140.7592,120.7936,50.5763,97.9877,48.2861,143.2304,86.6019,47.6134,66.192,60.2635,44.9905,58.0351,77.3565,71.7508,79.541,240.2043,54.0225,477.326,33.3507,36.2205,87.1319,52.8,55.2702,70.6203,33.0715,31.5424,
2023-04-06,166.5682,85.8035,32.9497,228.6438,211.8244,72.4458,35.7325,140.9924,140.0611,121.5326,50.4944,100.518,48.6507,143.5398,87.4708,47.296,65.8675,60.005,45.4211,58.001,77.6963,71.584,80.3653,240.6117,53.7072,466.6202,33.4533,36.0595,87.3878,52.56,55.3833,70.9202,33.1665,31.2455,
2023-04-10,165.5201,87.3904,32.5706,227.9804,211.7867,73.6511,35.7888,139.8253,139.39,120.7134,50.3943,100.9225,48.5571,143.7036,87.4032,48.2029,65.3855,60.0433,45.7768,57.8218,77.2045,71.9917,79.8501,239.5747,55.0046,474.1575,33.4191,35.979,86.9819,52.35,55.4399,70.4141,32.4666,31.5249,
2023-04-11,165.2672,88.3648,32.5891,229.1081,215.1436,74.884,36.2633,139.5474,139.2915,121.0874,50.7857,101.628,48.4151,144.7681,87.4515,49.0192,65.1815,60.5508,44.8969,58.3337,77.8393,72.5568,80.6556,239.9358,55.9055,478.7855,33.5473,36.0863,87.0436,52.28,55.9019,71.2388,32.7604,31.7084,
2023-04-12,164.9419,87.7245,32.5521,234.131,213.5029,74.6263,36.0542,139.9272,138.0924,121.7463,50.3943,101.7503,48.1796,143.0576,86.6502,49.2187,65.0888,59.9092,44.2977,58.3252,77.7946,69.3236,80.4496,239.445,55.4821,469.856,33.5729,35.979,87.176,52.47,55.9962,71.2669,32.5098,31.1668,
