Date,09F623,14BA06,164D72,16B183,2920D5,2B49F4,2D2D43,366A08,388E00,3FACA7,641F17,902670,940C3D,A43906,AA5C8E,CA212F,D0909F,D54E62,E15736,E21871,E70531,EAEBF3,FE89E0,HTA3J9,VERNOV,VISTRA
2023-03-16,52.0812,42.3874,42.7372,29.5669,177.6512,28.9455,117.3114,28.8816,21.6788,85.4117,116.0098,21.3755,25.7023,94.0609,14.103,56.3332,117.3155,138.7366,112.3224,25.608,91.1858,64.1022,88.6196,76.8862,,24.2663
2023-03-17,50.7753,42.2774,41.349,28.6026,173.4215,27.965,115.9055,28.1625,21.3837,85.1152,115.28,20.5888,25.3445,92.5034,13.873,55.7989,114.9263,136.9832,110.166,25.146,90.1117,62.982,86.7719,75.2589,,23.7875
2023-03-20,51.8593,43.0561,42.7742,29.6299,178.0321,28.656,118.333,28.92,21.7525,85.861,117.5971,21.1132,25.3727,94.9341,14.086,56.2759,118.2576,138.9973,112.394,25.6702,92.4674,64.0555,88.399,75.4844,,24.0365
2023-03-21,52.8067,44.9432,44.6806,31.5764,186.0818,29.8232,120.2451,29.7254,22.2505,85.861,120.5892,22.2981,26.399,97.788,14.3331,57.4782,122.4631,143.2505,116.8769,25.9279,96.6101,66.2305,91.6625,75.0138,,24.1885
2023-03-22,51.3984,43.7523,43.8662,30.9546,180.8138,28.4412,119.0173,28.2967,21.6695,85.0882,120.2061,21.6375,25.4575,95.1862,14.1627,55.9897,120.103,140.3371,114.4967,25.4481,94.3989,63.6634,90.4306,72.9551,,23.3874
2023-03-23,50.0498,42.7996,42.0894,30.6483,180.2137,27.4702,118.2393,28.3159,21.3007,84.0549,118.9381,21.3657,25.1656,94.3309,13.9667,55.7989,117.0921,138.9434,113.3067,25.146,93.3338,62.4032,88.638,71.9552,,23.0785
2023-03-24,50.7668,42.6622,41.2472,31.0988,183.1096,27.6382,116.8802,29.3035,21.8355,84.2256,117.9163,21.521,25.4386,94.9701,14.3076,55.5126,118.9666,140.3282,112.224,25.5369,93.4422,63.0286,87.7279,71.9944,,22.6056
2023-03-27,51.7739,44.0455,43.2832,31.8828,185.2053,28.5533,120.8262,29.1885,21.9093,86.4721,120.3064,22.2397,25.6646,97.5719,14.3928,56.9152,123.2109,141.7579,115.0336,25.7058,95.491,65.1943,89.6125,73.7884,,22.3932
2023-03-28,52.047,44.4944,44.0883,32.3514,188.3966,29.2162,123.3194,29.6295,22.1122,88.7635,124.0831,22.5991,25.9659,99.3995,14.5376,59.3579,125.8721,143.4124,116.9574,25.6524,96.6824,65.5864,90.5775,74.0237,,22.5283
2023-03-29,52.9262,45.612,45.0693,32.3604,192.6928,29.2723,125.672,30.1569,22.232,90.1114,124.9315,22.9585,26.5213,101.4431,14.6995,59.2434,129.1743,144.6443,118.8185,26.0079,98.3431,66.4265,92.2609,74.3864,,22.6924
2023-03-30,53.37,45.6669,45.1063,31.8828,192.4832,29.0015,125.5408,30.0035,22.1675,89.8508,124.9953,23.0264,27.0674,102.2174,14.7422,59.4628,128.6596,146.02,119.2749,26.1323,98.8214,66.8466,91.7984,75.3079,,22.7697
2023-03-31,54.232,46.3632,45.4395,32.4956,194.5599,29.543,126.375,30.598,22.6285,91.0999,127.3489,23.269,27.171,103.1987,14.9211,59.5678,128.5333,146.7124,120.9481,26.5321,98.9749,68.0975,91.7614,76.9548,,23.1654
2023-04-03,55.5294,48.8366,48.4287,35.3252,203.2572,31.84,127.1342,30.4925,23.1634,92.4747,126.3728,25.5708,28.1595,109.3025,15.0489,62.1917,139.382,152.818,129.2338,26.5232,104.8144,70.3938,100.28,75.1118,,22.8758
2023-04-04,55.5123,48.3144,46.6981,34.334,200.7709,31.0277,117.93,31.1446,23.1357,88.3142,116.2469,24.9881,27.5381,107.691,14.8955,61.8577,136.8665,151.9997,126.7463,26.3633,103.8126,69.7124,98.3191,74.5236,,22.5959
2023-04-05,56.3231,49.0381,46.9202,34.2348,200.4279,30.8689,124.3879,31.2597,23.4308,93.8406,123.2347,24.959,27.3404,108.3662,15.0915,61.6097,138.1194,152.755,127.9364,26.6032,105.5906,70.2725,99.6603,74.9942,,23.0882
2023-04-06,56.0671,48.4702,45.9207,34.3069,198.2941,30.5421,120.6107,30.7994,22.9974,92.4118,120.9541,24.7842,26.8414,107.466,15.0915,60.1498,136.8276,150.7498,125.7621,26.3455,103.8397,69.9457,98.2821,75.4451,,23.233
2023-04-10,56.3914,48.9099,46.3094,35.2261,209.7824,30.8969,123.0101,32.0172,23.6521,94.3168,123.2438,25.0172,27.1427,108.3662,15.1256,61.1517,138.2359,151.3253,128.1243,26.5143,103.3794,70.3845,97.9954,75.8079,,23.5708
2023-04-11,56.6987,49.7435,47.3274,35.9741,209.9445,31.4945,123.9006,32.0459,23.9379,95.6647,124.7125,25.3571,27.444,109.5456,15.2449,61.4188,140.6349,152.1615,129.896,26.8076,104.1104,71.2433,98.7353,75.8961,,23.8314
2023-04-12,56.545,49.9634,48.1048,35.7218,214.4311,31.3638,122.0541,31.3076,23.7535,95.2783,121.9849,24.8814,27.5381,110.1128,15.1853,61.8673,141.9655,152.7011,129.7528,26.9497,104.0021,71.0566,99.4568,75.2981,,23.6963
2023-04-13,56.9889,50.5863,48.0215,36.4697,217.1175,31.5692,122.2978,31.5186,23.7351,95.494,121.4467,24.9202,27.7264,109.936,15.1427,61.8005,143.0144,154.7422,130.406,27.1008,104.4895,71.5233,100.8534,75.6216,,23.9665
2023-04-14,57.2108,51.0261,48.5675,36.7491,219.0989,31.4011,122.579,31.7775,23.7535,95.485,120.2882,24.9881,27.444,110.2261,15.1768,61.5238,144.6461,155.0569,131.3008,27.003,104.7422,72.7275,100.354,74.9256,,23.6384
2023-04-17,56.6816,50.6596,48.1788,35.5866,217.4033,31.2237,121.1918,31.4418,23.6797,93.3823,117.0406,24.0849,27.444,109.4738,15.1512,60.0544,141.4604,153.6902,129.386,26.9408,103.5238,71.4113,97.6809,73.5629,,23.4067
2023-04-18,56.9633,50.5863,48.2806,35.5235,217.6509,31.6346,120.9668,31.9405,23.7535,93.7328,115.955,24.0266,27.7735,107.8604,15.083,60.1116,141.6061,153.3305,129.4575,26.7987,105.5455,71.7474,97.0705,73.014,,23.4646
2023-04-19,56.6304,50.2474,48.7063,34.9558,216.5365,31.8493,118.4643,31.8542,23.6982,92.6095,113.4828,23.9491,28.7715,107.6791,14.9978,59.6059,140.7709,153.4744,128.5538,26.7276,105.2116,71.1593,97.3572,73.2786,,23.4164
2023-04-20,56.3743,49.487,48.0955,34.1939,214.6217,31.6252,117.8082,31.3843,23.5691,90.983,112.1601,23.5704,28.329,107.1897,14.7848,59.1861,139.8482,152.728,127.0058,26.5054,104.3722,70.5338,95.9883,74.9648,,22.953
2023-04-21,56.5877,49.1298,46.0873,33.7676,214.1263,31.1864,115.7836,31.2501,23.4769,89.9946,109.1315,23.3953,27.9241,106.3286,14.8018,59.0334,139.7025,152.0716,126.2453,26.5943,104.7061,70.5805,94.5824,75.0432,,22.8758
