Date,055018,0BC29E,0BF4BA,168A5D,1A3E1B,24CB56,25102A,2DBF98,2F94A5,3461CF,3CCC90,3D9999,3ED92D,4C37C5,4D371E,50070E,51E682,58CA9A,59B229,5B6C11,5BC2F4,5DD486,60DD84,6166D1,619882,61B81B,61BCA7,73C521,766047,810E30,8377DB,8CF6DD,8FF2EF,9196A2,94208D,968B00,990AD0,9A02C4,9B5968,9F71E5,A8CBDA,AADE0B,AD3C93,B3CB74,B8F71F,BFE02C,C08256,C598D7,C5EF8D,C9E107,CFF97C,D1AE3B,D33D8C,D5AF19,DD682D,DE27F9,E1C16B,E206B0,E8846E,E90C84,EF5BED,F1529C,F1FA25,FACTSET,FEC475
2023-03-16,89.2776,47.263,13.6758,302.01,28.0115,10.3625,51.0898,220.4319,95.0407,290.6964,77.8324,27.2423,527.0584,155.3522,28.544,294.1433,103.8971,41.0721,65.6414,23.6191,67.594,168.3273,371.4148,31.5056,121.7192,115.3906,62.6584,15.9807,64.8034,52.5424,23.4197,41.3292,130.4433,78.7912,69.44,55.3655,26.9437,277.009,151.4965,95.8588,91.09,178.4528,59.1254,85.6117,39.0243,28.6667,80.4003,54.1351,292.3887,9.6708,331.6756,114.8181,55.39,596.6566,105.9831,184.5582,105.69,163.5292,36.3883,106.197,41.037,119.8799,340.2182,391.4907,70.5812
2023-03-17,85.6039,44.4851,13.2583,293.51,25.9876,9.7297,50.7435,215.5012,95.0583,287.0865,74.2962,26.6164,517.9168,151.2831,26.615,283.3611,98.312,39.8387,63.3165,23.0146,64.8993,167.2214,372.7729,28.5509,117.1204,109.7151,59.8891,15.3625,62.0647,49.974,22.0832,37.8395,124.4631,76.2285,69.56,53.1061,25.8741,270.6146,148.7375,93.7046,87.999,174.9537,57.9993,84.2337,37.8395,27.145,78.2166,52.8483,290.0126,9.1113,326.3965,110.2636,53.9832,596.4037,100.205,179.6907,99.0997,156.7112,34.9624,102.5462,39.3548,121.398,320.9336,392.0801,67.0002
2023-03-20,86.1096,46.0012,13.1646,301.06,26.2852,9.8478,50.907,219.6117,94.531,284.3449,76.6233,26.579,524.8984,153.4288,26.8284,288.9529,103.466,39.6946,65.9852,23.0759,66.4095,166.1424,369.7315,29.8506,118.3585,112.9342,62.2221,15.5256,63.3113,51.8957,23.1984,38.6903,126.9739,77.5506,68.31,54.761,25.809,276.7494,151.0383,94.7093,89.5063,177.3448,59.9771,87.9276,38.2675,27.7519,76.0513,53.3886,293.8065,9.3756,326.4941,109.5525,53.6961,602.82,106.1932,182.3745,102.9558,160.2057,34.7032,104.9866,39.9926,121.4947,334.0909,397.6259,68.9668
2023-03-21,90.2319,48.2612,13.6503,303.85,28.6577,10.7676,51.9555,221.7152,97.0882,289.8573,79.3141,27.9336,534.5414,159.0541,28.704,296.1877,104.272,40.5769,67.9754,23.6016,69.3754,164.2812,367.7327,32.5107,121.533,116.7208,63.7395,16.2985,65.6911,53.3074,24.2428,42.2147,128.033,80.3759,70.68,55.5141,26.5903,290.3652,153.1481,96.3322,93.8185,178.7249,61.2262,91.0378,38.77,29.0449,80.0502,54.8031,298.0698,9.9043,333.3345,114.8091,56.9115,620.2332,111.2073,186.8957,106.1048,163.0924,35.6291,107.2708,41.7209,124.1344,339.738,405.0171,70.8045
2023-03-22,86.8444,45.907,13.1731,299.73,27.6288,10.1685,50.9262,217.981,95.0231,283.7497,76.1597,27.0368,527.6466,157.3047,26.775,292.8177,100.9546,39.3525,65.4695,23.0409,66.6898,161.377,360.9997,30.1452,118.3958,110.3181,62.4687,15.3023,63.4246,51.1034,22.9241,38.6469,124.8009,79.2802,67.75,53.9484,25.7067,284.8554,150.7519,94.091,90.4222,175.4786,59.7405,87.7937,37.8705,27.2329,77.3781,53.9092,294.8235,9.3932,327.5968,105.907,53.8396,607.2787,108.3994,182.8074,102.3241,158.2305,34.4439,104.4887,40.6211,122.8581,332.1702,401.5872,67.567
2023-03-23,85.7947,44.4097,12.8152,298.37,27.6968,9.5103,50.4933,218.2512,95.6558,283.3009,75.6506,26.1679,527.4345,157.3143,24.4015,293.9193,99.3147,39.1184,64.4654,22.9445,65.7312,161.8715,366.4989,30.3792,118.0792,108.3051,62.2126,15.0533,62.1308,49.4549,22.4284,35.3308,125.8417,77.7317,69.1,53.2944,25.0836,285.7401,151.4583,93.2506,89.2678,179.2692,59.1727,87.3822,37.2006,26.2917,77.8112,54.086,296.2706,9.4109,324.2107,101.1454,50.6146,610.5197,107.2534,178.9308,99.5428,155.6002,33.8976,103.8249,39.9648,122.9741,328.2518,379.3074,66.3218
2023-03-24,86.31,44.5793,12.8237,298.92,27.9689,10.0081,51.0513,218.2802,96.3589,285.6035,75.8415,26.196,523.7123,154.434,25.1127,291.7908,99.8957,38.8123,64.7639,23.0321,64.7908,165.0365,369.1577,30.2405,116.2825,110.0964,62.6394,15.3539,62.4424,49.5004,22.5523,35.0704,128.2156,76.0202,68.51,54.0673,25.2417,280.2399,153.2531,94.1779,88.5809,180.455,59.5039,85.2576,37.2378,27.3561,77.3413,54.3807,302.3038,9.499,326.4258,103.4497,50.9687,604.0565,107.7022,179.4502,99.5522,156.5972,33.5458,104.1471,39.512,125.0047,331.1714,385.3652,66.6224
2023-03-27,87.5505,44.6923,13.0708,302.14,28.1305,10.5398,51.2244,219.467,95.401,286.0425,77.1778,26.4576,521.0605,157.6623,26.0727,297.3546,101.5731,40.3158,65.4334,23.1636,66.3642,166.3582,364.4714,30.2145,119.6153,110.8679,62.9523,15.6802,63.0657,50.8666,23.2427,36.9628,128.8456,76.645,68.81,55.1178,26.4973,286.769,154.0359,94.7189,90.0501,180.9119,59.7216,88.6358,37.9449,26.8107,77.5716,54.8031,302.3038,9.7942,327.626,106.15,52.4999,607.2787,109.2208,181.73,100.8722,157.9646,34.6939,105.9237,40.3345,127.1126,335.8773,381.0658,68.1853
2023-03-28,86.9493,44.7299,13.3094,302.32,28.4196,10.4385,50.9262,221.3389,95.0143,286.8328,77.2324,26.3081,523.5194,153.8831,26.6239,297.2706,101.2357,40.712,65.4153,23.1022,66.5722,168.4262,365.8582,30.8124,119.9783,112.4996,63.3601,15.7231,63.2735,50.484,23.3135,37.119,130.4251,76.8624,68.26,55.3754,26.1532,287.8459,154.9429,95.7333,89.8307,181.2909,60.1474,87.7937,38.1062,27.0306,77.0833,54.7933,302.1473,9.7986,326.0452,107.3652,51.5333,605.3304,110.9303,182.3457,100.2593,157.5183,34.4254,106.1873,40.5841,127.4123,339.8629,387.8869,68.1853
2023-03-29,89.812,45.8599,13.6843,305.3,29.3125,10.6917,52.0325,222.3134,97.2376,292.2574,79.1414,26.7659,531.2628,158.1165,27.5928,299.399,103.7659,41.3692,66.3471,23.2424,68.227,168.1834,367.7518,31.3843,120.2204,114.3265,64.299,16.0237,65.71,51.4494,23.9242,38.8118,131.9133,78.0939,70.29,56.3862,26.6647,290.0479,157.024,98.2159,93.1888,183.7014,60.8382,89.3535,38.4536,27.3825,78.4838,55.4219,305.7555,9.9924,329.9485,110.1735,52.8348,615.6153,112.8882,185.9049,103.4272,161.2977,35.1569,106.6363,41.647,128.3019,344.7993,393.8385,69.7225
