Date,00067A,17F16B,18EC17,1EBF8D,1F9D90,1FAF22,205AD5,221AD7,267718,2BF36E,34B97A,3587B4,434F38,44A4FC,4A5C8D,508CFD,520632,56277A,57CAAB,589803,5F9CE3,6137BF,665D7D,69CE71,6B0784,6CC55E,7448A3,76F067,7AB859,7D85A9,7E3F8F,8665BA,86A1B9,873DB9,8EA478,94637C,9C5174,9D5FA4,9F6B1A,A6828A,A7102F,B13B68,B7EB38,B840EF,BF23B0,BF79F5,BIOTECHNE,C03C8B,C062D4,C81E00,C951A2,C97B2D,CD2DA4,CEDFD5,E124EB,E68733,E6D89E,ED79D9,EFD406,F30508,F5D410,F6E248,FD6926,LJPA1L,SOLVEN,VUA3RK
2023-03-16,478.373,263.78,240.5,98.6436,307.28,35.8384,444.9067,326.4,33.6826,34.2439,248.877,66.9823,205.3983,71.2,335.205,8.2996,93.8507,122.1948,300.64,744.7536,126.6823,81.91,139.2376,68.0535,1469.86,73.97,119.372,215.0311,453.9923,148.0967,196.43,552.5088,259.5174,226.5209,151.78,59.1862,312.36,488.28,182.0646,141.7485,78.15,193.56,474.11,114.56,173.5481,333.6674,72.3326,160.7449,125.1624,267.3236,78.35,48.3,86.3158,265.25,217.646,71.8853,224.95,134.062,78.03,322.3,63.19,72.5325,226.4882,76.2316,,19.0404
2023-03-17,479.5052,263.71,237.8,95.6661,298.97,35.1005,442.5315,320.87,33.4573,33.7317,245.2374,66.1369,201.3347,67.11,334.6429,8.2385,91.9364,121.1037,295.77,742.6676,124.3472,80.74,138.2693,66.7432,1455.11,73.62,117.6557,210.6493,448.8274,148.0675,190.89,542.839,254.8081,224.2176,150.02,58.6835,309.09,469.87,177.2616,140.2301,77.27,192.92,471.36,113.93,171.4506,327.032,71.1712,158.9664,121.6681,266.5756,77.07,47.95,85.3684,263.16,212.077,70.9966,224.55,130.4954,76.77,321.9576,62.55,70.2252,230.0188,75.4555,,18.9966
2023-03-20,478.3827,265.1,240.5,97.2743,300.51,35.6703,449.563,316.36,34.0497,33.8323,250.8924,67.5808,204.8053,66.98,340.461,8.2472,92.7514,123.0716,298.95,754.1903,125.6518,81.08,139.9728,67.2907,1474.72,74.22,121.6111,215.1686,452.5291,149.8597,191.81,546.0425,258.0706,226.9873,154.52,59.3097,318.3,467.52,180.6436,141.6197,78.82,192.59,483.26,117.21,176.0146,329.2537,71.4173,160.2713,122.8693,268.8971,78.31,48.83,86.1208,267.91,213.6831,72.1936,219.77,131.828,77.99,326.2807,64.15,72.1782,231.4623,74.8188,,19.6278
2023-03-21,484.6529,266.24,246.68,96.9894,308.63,36.9966,452.5226,327.64,33.9246,34.4908,253.0937,68.6448,207.9162,66.78,342.6502,8.4307,93.1873,124.4939,302.66,754.6969,128.488,81.73,140.5556,67.8112,1500.22,73.49,124.1659,213.5461,455.1552,151.983,196.76,552.122,261.5884,228.6624,152.1,59.5479,326.03,480.29,183.901,141.6197,80.24,198.67,495.4,118.98,179.1511,332.2987,72.687,160.6772,124.6363,270.1502,79.77,48.84,87.7007,266.15,216.8081,73.6627,221.61,134.2482,78.2,323.816,65.29,71.8875,238.826,76.1321,,19.619
2023-03-22,482.1951,265.09,240.81,95.9418,302.26,36.5763,448.2057,312.31,33.3822,33.2743,248.877,66.4408,204.9122,64.65,337.0786,8.2123,91.7942,122.1558,297.87,746.2933,126.9848,79.41,137.7762,66.7791,1452.26,72.26,120.5754,210.6859,450.9786,149.4506,190.01,549.7616,255.7443,227.3965,148.18,59.3097,315.16,466.21,180.3112,139.0061,78.45,196.29,475.03,115.0,176.1894,326.2583,71.309,155.9798,124.1796,264.5358,78.63,48.07,86.1258,261.22,215.0012,72.4929,217.18,131.0343,76.75,323.7084,63.6,70.6794,234.8564,74.391,,19.1544
2023-03-23,475.4411,263.68,244.47,95.7856,298.17,35.6049,442.9179,311.48,33.5241,33.6219,247.3018,65.5574,204.7275,62.64,331.1717,8.0376,91.9648,121.7369,304.75,796.8144,127.9964,79.55,139.2376,64.9483,1451.1,72.26,120.1414,213.6836,432.4798,147.0059,188.0,550.6245,242.6374,224.979,149.42,59.0804,311.49,456.32,178.3668,139.0797,78.13,193.71,478.74,114.5,176.1699,329.1446,70.7874,155.8445,124.1896,266.4202,78.53,47.94,86.2333,265.17,215.5424,70.9472,216.95,128.4867,75.24,325.3417,62.58,71.5424,235.3831,75.3262,,18.7775
2023-03-24,486.1624,267.72,256.42,96.3094,299.96,36.6416,448.6487,306.7,33.6993,34.0701,248.7204,66.8493,206.6621,64.27,341.7529,8.1511,92.922,122.7891,314.39,814.5355,132.4114,80.76,141.6763,65.7471,1459.75,70.23,120.9601,218.2029,442.548,152.3434,188.35,553.6692,246.0702,228.9003,150.88,59.6978,310.17,460.78,181.4912,140.4785,79.17,193.79,485.51,114.09,179.8405,331.5746,71.3976,158.6861,126.6515,268.7612,79.2,48.22,88.7481,270.03,216.6248,72.5935,220.0,129.3,76.12,328.7552,64.05,72.6687,242.7857,76.0724,,19.1632
2023-03-27,490.5748,269.64,252.57,98.2668,302.74,37.4262,454.2192,305.95,33.5574,34.3262,248.9063,67.6758,209.8119,67.51,344.5535,8.2734,93.3105,122.7501,308.47,814.9427,131.8158,80.92,141.2459,66.0253,1481.53,70.81,121.9564,217.0387,449.6026,152.6161,190.91,557.071,247.5549,230.4993,148.35,60.0418,314.93,470.55,182.6296,141.0767,79.64,197.46,489.05,116.07,180.9281,333.0922,72.2539,160.1649,127.0685,270.1405,79.61,48.33,89.1406,269.98,216.4502,72.8404,217.82,130.3876,77.15,327.2587,64.75,72.2872,240.9229,75.9928,,19.356
2023-03-28,467.7582,265.79,249.49,96.9802,299.53,37.2207,445.4346,305.29,33.3655,34.5274,248.9748,68.8443,207.1579,65.92,349.563,8.3259,92.0311,123.121,313.25,821.459,131.2107,80.49,141.8825,65.6214,1473.64,70.31,122.0057,218.6154,444.3311,153.892,189.87,549.6724,242.5618,229.5951,146.92,60.1565,311.29,471.0,183.3775,139.7147,79.65,191.89,488.14,113.815,179.9474,337.0397,70.4921,159.5174,127.3564,269.4605,78.835,48.6,88.6931,270.25,215.4725,72.7215,213.84,129.9565,77.35,330.2418,63.12,73.5498,240.2792,76.5102,,19.4963
2023-03-29,470.0225,265.46,250.76,96.4197,300.47,37.8652,439.7886,306.21,33.5825,34.4999,251.7925,70.8677,207.576,66.91,352.2058,8.3259,93.4622,123.7066,314.24,813.8898,130.9177,81.64,141.6583,66.492,1496.31,71.14,122.4298,220.953,442.0441,154.8368,192.91,550.5848,240.226,231.2131,148.8,60.1389,312.9,471.97,184.3248,141.0859,79.75,197.58,487.62,113.96,182.0351,335.2246,70.9252,157.217,128.4583,271.0341,79.2,49.08,90.448,274.01,216.0225,72.3191,222.03,131.1519,78.47,328.5009,63.65,73.8405,240.2499,78.8383,,19.882
2023-03-30,473.4105,266.03,251.3,97.3386,304.67,37.6504,443.0593,311.85,33.6909,35.3996,253.8275,71.5802,209.9383,64.67,352.8172,8.3521,93.8981,123.7262,312.16,806.0921,131.6834,81.57,141.5866,67.0394,1499.74,71.04,123.2979,221.3839,444.709,155.1972,194.95,558.3405,240.2827,233.3451,147.44,60.1565,316.88,471.78,186.718,141.1964,80.12,198.03,493.55,114.4,183.3364,338.0911,71.2893,158.6571,130.0466,273.4008,80.5,49.6,91.8604,275.13,218.2857,72.4197,225.26,131.779,79.38,333.2151,64.13,73.9858,242.8052,81.7236,,20.2414
2023-03-31,470.5992,267.49,255.47,97.7706,309.63,37.8839,445.444,334.14,34.0414,36.0606,257.9758,72.1976,212.8937,65.71,351.1112,8.4045,95.9641,126.1078,315.07,816.1943,133.7538,82.73,142.8867,66.6894,1530.21,72.27,125.3693,221.613,445.5714,155.9472,198.89,571.6303,241.6445,235.6008,153.58,61.1356,318.96,479.02,190.6401,142.6412,81.54,201.82,500.08,116.18,185.7446,343.6454,73.0216,160.8705,132.2902,278.0369,80.7,50.03,93.3328,278.03,220.2431,73.7367,232.55,135.5514,81.11,335.8852,63.21,75.3666,247.0576,81.6142,,20.6184
