Date,03B8CF,119CB6,131443,13C3E0,15ABD0,1921DD,24C48B,253B2F,2667B6,2D643C,2E0496,304C94,322A44,32BBAA,32CB22,353DBB,35F4B5,3F4497,4030E2,416C55,431B74,55438C,567F3D,5A6336,5E6959,5F2FF7,616E3B,636639,6844D2,6B5379,6E705B,6EB9DA,72DF04,767F86,8B4A45,92D3A0,945DE6,96F126,9A3FF4,9D30A8,9F18FA,A1EAC8,A4D173,ACF77B,AD23DE,B2256A,B4703C,BFAEB4,C20B75,C4073B,C659EB,CBA33B,CE1002,D21EF3,D56D6D,D8F347,D90F43,D96202,DCD97F,E0339F,E26FC3,E866D2,E8B21D,E94704,EC821B,ED0402,EE6F1C,EEEA9F,F46EC9,F5C8AB,FAE021,FC1B7B,FF6644
2023-03-16,78.3431,165.9217,217.1896,14.12,113.7168,72.3303,131.4819,156.5434,92.6366,193.8593,177.8092,115.53,50.2906,42.8569,385.0004,214.8055,133.4372,47.7761,77.3596,267.8989,375.0747,203.19,48.7466,175.1672,420.6627,32.7008,149.2184,135.8544,191.5364,303.4095,43.59,663.5405,166.6828,208.8039,35.005,24.3215,94.6373,436.5705,102.0016,413.12,608.8119,192.788,65.5708,64.4366,196.2756,82.39,63.5214,106.0893,78.2454,158.2267,91.3418,35.0938,71.9104,92.2998,199.2748,180.1226,32.73,128.8652,206.7601,67.2749,28.1007,28.66,210.3804,219.2581,40.0942,67.75,190.1354,53.3613,93.7191,103.5554,160.4602,428.3141,167.2162
2023-03-17,77.4485,162.9966,210.9785,13.98,109.513,71.0091,129.2537,154.4423,90.4359,190.551,177.0228,113.13,49.161,42.1536,358.7591,214.3112,132.6023,46.7152,76.3397,259.055,369.6947,201.05,47.5636,171.6478,417.9527,31.9732,146.8594,131.8104,206.7993,294.6358,43.04,646.176,162.615,205.2715,34.86,24.21,91.7737,429.7716,99.2542,408.26,590.5708,187.2559,64.1032,62.4721,196.481,80.09,61.7299,105.3879,76.8342,154.1551,89.2027,34.6899,69.6425,91.0762,196.977,177.4148,31.78,126.1253,204.9748,66.0084,27.6983,28.2369,207.1352,214.166,38.8651,66.93,183.5365,52.3044,91.3752,102.6679,159.4953,422.0818,163.2378
2023-03-20,78.4183,163.9159,215.4377,13.96,110.4525,70.7181,130.2674,156.623,92.1171,191.8874,182.3609,111.71,49.6727,43.3483,366.8632,218.1161,136.0895,47.4825,77.6901,264.3936,378.3258,204.77,48.6796,175.3896,424.3546,32.1478,148.5087,135.256,202.9789,305.1778,43.09,656.2947,160.8286,210.3314,35.265,24.679,94.8833,438.8399,101.6462,418.25,598.3237,190.9753,65.8853,63.9819,196.4712,82.02,62.654,107.5944,78.5045,157.4374,89.2585,35.1612,70.4941,91.835,200.974,177.116,31.93,127.1287,206.6285,67.0555,27.957,28.2839,211.3117,219.101,39.1328,66.76,185.2191,53.7501,94.1918,101.5972,156.6775,427.4673,167.8704
2023-03-21,78.4033,165.2531,219.5597,14.37,111.2856,72.4955,130.9464,160.9347,92.5704,191.9435,182.9507,114.73,50.9761,43.5506,386.0958,219.3004,137.5924,48.5907,79.3144,268.9818,386.0841,204.7,49.059,176.9752,422.6462,32.8754,148.1635,137.2539,206.3487,315.2077,44.26,663.0438,165.411,214.7326,35.585,24.6743,96.3791,437.9727,102.7125,424.56,612.4191,193.0416,67.4927,64.9732,198.4665,84.23,63.0971,107.9183,79.0133,160.6909,89.863,35.3631,71.4174,92.3472,201.5823,176.976,32.86,126.0095,208.94,68.5115,28.0911,29.1866,213.6351,220.9493,40.1934,67.86,185.9335,55.7342,95.031,102.1567,159.4953,428.1523,169.0021
2023-03-22,76.3359,162.6328,214.9319,13.82,109.3871,70.4586,129.8466,157.8876,91.3332,187.4484,179.8442,110.58,49.5762,42.5679,377.2938,215.5329,136.0109,46.5826,78.7572,263.7287,378.7765,196.16,48.4192,175.6313,420.8198,31.7889,145.8429,135.6421,203.7486,311.2557,42.82,651.1526,162.1296,209.9877,35.245,24.0661,94.037,432.5668,99.7729,421.05,602.5207,187.2935,65.1952,63.9728,192.7351,83.82,62.6917,106.194,77.4102,159.9401,88.3191,34.988,68.6206,90.3933,200.5685,173.4092,31.52,124.9097,205.9896,67.2849,27.1043,28.2839,210.1211,215.9404,40.1537,65.99,180.6601,54.797,94.1146,100.9701,158.428,422.0818,165.4657
2023-03-23,75.9299,161.9839,211.8966,13.63,108.1763,72.0315,131.8357,158.2959,90.672,186.3643,178.7431,107.11,49.2479,42.6835,370.479,215.6821,135.9029,45.8438,78.4739,264.4791,375.7844,197.9,48.01,176.8495,417.3537,31.1778,144.51,135.6324,203.6172,309.613,41.66,648.0069,161.1199,209.5008,35.615,24.0243,93.9681,431.6443,98.2455,418.32,599.4178,184.7763,64.6973,63.4908,191.5321,84.31,62.5031,105.4902,77.0646,158.3808,88.2354,34.7861,67.6525,90.1941,199.9893,173.8574,31.18,123.4529,206.8165,67.1552,26.9031,27.8514,209.305,216.0235,39.8365,65.85,179.3347,54.7871,93.7867,100.864,158.2145,422.8811,165.2535
2023-03-24,76.0351,161.9839,209.7513,13.72,108.8156,71.8584,134.456,160.0982,91.0876,187.1494,183.5307,111.22,49.9913,42.3174,359.428,215.9992,136.8557,45.5218,78.2756,263.7002,370.6537,197.53,48.5531,176.0374,421.8115,30.6442,148.1156,136.5107,204.2555,310.0478,41.36,646.2734,161.2558,207.1809,35.715,24.2843,93.978,437.7698,96.6412,424.96,601.6744,187.8758,65.2563,63.5726,193.2437,84.46,62.9274,106.2695,77.2758,157.5144,88.8027,35.2189,66.5588,90.9814,202.7023,176.0143,30.75,126.3086,210.0017,67.5541,27.066,27.8608,210.6876,216.615,39.896,67.14,181.5437,54.8668,95.0985,100.7965,158.8805,433.1667,166.3498
2023-03-27,76.2983,164.437,212.5992,13.94,110.4719,73.3842,134.7716,161.7611,91.5315,189.6446,182.1053,109.71,50.9181,42.6835,361.4153,216.9597,137.3174,45.2282,78.1339,264.4601,376.8968,200.57,49.0665,175.0125,422.4694,31.1681,147.2717,137.7944,206.3393,313.71,41.94,654.1229,164.3334,208.1261,36.365,24.3075,95.7887,436.7089,98.3704,427.2,610.0342,192.4311,66.5667,64.5185,193.2534,85.43,63.7383,107.324,77.7462,157.7455,89.7142,35.3343,68.5041,91.4366,205.0387,180.4214,30.62,125.8937,211.4393,68.5314,27.545,28.3497,212.8863,219.0733,40.4015,67.88,182.8691,55.6246,95.8895,101.7033,159.9478,436.0212,166.1995
2023-03-28,76.4862,163.2277,214.96,13.98,110.6366,73.2505,134.4847,162.5876,91.4276,191.1959,184.5138,109.78,51.6519,43.1171,363.4897,218.3212,138.6435,45.4839,79.0405,264.8211,379.1409,204.96,49.3046,176.6368,424.1779,31.4979,148.4608,139.3,206.9213,316.6861,42.41,658.1938,166.3042,210.1882,36.555,24.4375,96.7629,434.91,100.1188,428.89,615.2655,194.2532,66.6541,65.337,191.1311,86.3,64.2568,108.0425,78.4469,159.3915,89.7607,35.4401,68.8089,91.7591,206.6124,183.5493,30.07,126.6849,211.8809,69.3891,27.8899,28.8011,214.0192,221.1249,40.7583,67.4,180.4345,55.7941,96.4296,101.192,160.2979,436.7348,166.1376
2023-03-29,77.5763,162.9081,218.0046,14.35,112.0798,73.974,136.732,164.7584,92.2777,193.6817,187.0305,112.58,52.0574,43.7241,372.3499,223.2918,139.724,46.1848,80.2115,270.2927,384.3579,207.97,50.0486,178.967,426.4755,32.3224,150.5896,141.8383,209.9344,322.8993,43.47,657.4147,166.0712,212.8996,37.02,24.5954,97.7765,437.4469,101.2523,433.91,625.9161,196.0941,67.3966,65.8008,194.3586,86.46,64.9828,113.2835,79.5125,161.3551,89.6863,35.5939,69.8397,93.3811,209.5282,185.8929,30.87,128.2767,213.1024,70.1669,28.3498,29.5627,217.0532,223.232,41.4423,68.21,182.9631,56.5319,97.8861,101.8576,163.4914,439.1801,167.1543
