Date,003B70,10646E,1490F3,159AE4,275300,2FEA66,315EB0,37727A,420168,4FB770,51D876,56EA2B,6284B5,6B236C,6BF593,7999F3,7C4168,8EF425,900356,A4386C,A80FE0,AE4EEB,AFEC35,B5DE80,CE4FD9,DB30C3,DB7014,DC5299,F67165,FF4BA4
2023-03-16,53.0774,26.8182,94.1006,15.8737,113.7559,150.1254,659.5703,35.0551,45.4094,141.8656,75.56,108.2093,47.3783,28.0571,13.5572,41.5981,245.7835,131.9532,94.1953,19.0372,188.7558,52.586,263.3977,52.0322,66.2945,109.9993,85.4019,95.5869,190.7258,27.4249
2023-03-17,52.1847,26.4115,91.919,15.2855,111.8159,146.5415,648.5583,34.1426,43.3642,141.4754,73.87,105.4014,45.7499,27.5068,13.1044,39.9804,243.444,128.2974,89.9772,18.4587,185.3498,51.3988,264.1212,50.5943,64.3295,106.2805,82.4582,92.4776,186.5041,26.9181
2023-03-20,52.6863,26.7166,92.7953,15.6575,112.6571,147.5849,647.244,34.5725,43.8904,142.2026,74.76,106.2996,46.4685,27.615,13.4034,39.9533,244.6137,129.4189,92.4011,18.6901,185.9021,51.9165,266.5331,51.5321,64.6851,108.7261,84.5852,93.9504,187.7553,27.4987
2023-03-21,52.0912,26.7166,89.2992,15.7613,111.1549,146.1514,645.8265,34.4234,45.4773,140.7127,75.17,107.2326,46.5868,27.2361,13.5401,39.6732,242.3598,127.9442,94.1263,18.6011,182.4409,51.2649,261.6647,51.8804,64.9284,108.4147,85.0249,92.9049,185.5589,27.4987
2023-03-22,50.5013,26.0302,84.2423,15.199,108.2277,141.3516,622.4414,33.502,42.3883,132.6243,71.21,102.0964,45.6407,25.9731,12.8823,37.8206,234.1524,124.2884,89.9772,18.0048,176.8532,49.9527,254.5629,50.2906,61.9154,104.531,81.7761,90.5593,179.3298,26.5495
2023-03-23,50.3908,25.79,85.3559,15.1471,106.2276,139.791,625.5769,33.2037,40.1989,132.3848,68.91,101.207,45.0676,25.8739,12.6944,37.676,234.8086,123.6173,88.3124,18.0671,176.393,49.5063,252.1242,50.63,61.5318,104.5584,81.812,89.6866,176.5843,26.0795
2023-03-24,51.8956,26.6479,86.141,15.5796,111.1291,143.1118,639.9685,33.9583,41.9386,135.8703,68.86,104.5207,45.8954,26.5595,12.8652,38.2905,243.8529,126.5755,89.2613,18.61,183.7572,50.5837,256.019,52.1036,63.1412,107.1964,83.0236,90.8139,180.725,26.3007
2023-03-27,51.6151,26.9225,85.8032,15.718,109.4209,143.9103,645.5261,33.7828,42.7193,136.0033,69.37,103.5527,45.6771,26.6407,12.9336,38.7785,238.8981,126.443,89.106,18.521,177.8014,50.7553,255.7957,52.2465,63.5155,107.2239,83.0326,90.9139,181.0131,26.4481
2023-03-28,51.9126,27.0769,83.4482,15.7699,109.4381,142.7398,641.2358,33.6687,43.1945,134.0433,68.45,103.326,45.5588,26.5776,13.0275,38.9141,238.4511,126.7786,89.8392,18.5833,177.5436,50.5204,251.9099,52.1662,64.3483,106.8484,83.3377,91.3776,180.266,26.1901
2023-03-29,52.7458,27.197,84.3427,16.09,112.4253,147.1676,651.9943,34.5638,45.1039,138.052,69.41,107.285,46.3685,27.2722,13.4632,39.7455,241.7226,129.5955,91.9439,19.0105,182.717,52.0202,259.2706,52.8806,65.4617,109.807,84.2082,93.314,183.9116,26.7891
2023-03-30,53.2304,27.2914,85.3194,16.2716,113.7644,149.6517,659.0351,34.9937,46.0809,140.8634,70.84,109.1872,47.1144,27.6962,13.5923,40.1793,244.6042,131.1143,92.7807,19.3042,185.1933,52.8784,263.2011,53.1486,66.3881,111.6755,85.6531,94.7554,185.8964,26.9549
2023-03-31,54.0542,27.9863,89.7374,16.8945,114.889,154.0516,676.9002,36.0291,46.7898,144.4996,72.81,110.6051,48.1333,28.1744,14.1949,39.5767,248.2847,133.3749,96.5847,19.5534,188.1022,54.2065,269.9009,54.6401,67.0805,114.2861,88.6955,96.2519,190.4123,27.7659
2023-04-03,53.6701,27.8748,85.1825,16.8426,113.4983,153.1533,666.4891,35.8975,46.3662,137.0321,72.77,109.5219,48.2243,28.1383,14.0141,38.9468,242.5405,132.2976,96.9729,19.3309,185.1196,53.8722,274.8676,54.7026,67.1179,113.3701,88.6058,95.2971,189.6839,27.6461
2023-04-04,53.6445,27.7547,84.6896,16.7301,114.7602,152.4291,666.9866,35.7835,45.6745,142.0518,70.91,109.2225,47.8422,28.1924,13.9108,38.5816,244.1667,131.7148,96.0154,19.2953,187.2829,53.6554,275.3678,54.3632,65.8547,113.6541,88.4263,95.0951,189.6293,27.6
2023-04-05,53.5335,27.5573,82.3437,16.5398,114.7859,152.4566,660.7343,35.5904,45.4151,141.9188,70.08,108.9054,46.9234,28.1563,13.842,38.3168,245.5648,131.7413,94.8423,19.1173,188.4244,53.8541,274.4745,53.8184,66.0232,111.9961,87.6096,95.0125,190.6854,27.2591
2023-04-06,53.414,27.7289,83.0009,16.4966,115.3868,154.1707,667.6907,36.0692,45.9079,144.3755,70.31,109.5483,47.5693,28.4089,13.842,38.9194,246.9628,132.6861,94.687,19.0817,190.2654,54.333,277.6279,53.8541,66.9495,112.4358,87.7173,95.9948,190.9585,27.5079
2023-04-10,53.4823,27.9949,84.5527,16.6004,115.0435,154.5649,663.0062,36.0781,45.6399,145.6437,69.95,109.2225,47.6421,28.5443,14.0055,40.0606,248.9219,132.3417,94.5058,19.2953,191.7935,54.2968,278.2264,53.9702,68.1378,113.3426,87.7352,96.2152,191.8963,28.0424
2023-04-11,53.0128,28.1922,85.6572,16.6869,115.4641,156.1049,663.2784,36.1313,46.6947,146.0517,70.46,108.3594,48.6519,28.7969,14.1174,40.4805,251.0712,132.6685,95.0234,19.5712,193.6622,54.4504,280.54,54.2382,69.5601,112.3625,88.2917,95.9856,192.479,28.4478
2023-04-12,52.8591,28.1408,84.7079,16.41,114.8117,155.9124,667.5124,35.8298,44.5938,144.9342,69.84,107.0208,49.2614,28.833,13.8678,40.4349,248.8553,131.7059,94.4627,19.1618,194.4723,54.0348,279.7361,53.5773,69.8315,112.4908,87.0801,95.3981,192.1239,28.1806
2023-04-13,52.5262,28.0378,83.9137,16.2889,114.9662,155.894,665.325,35.6436,44.6803,140.8279,70.75,105.277,48.9066,29.0585,14.0313,39.9328,252.3551,131.4118,93.971,19.0995,195.5017,54.2426,272.018,53.5862,69.7098,111.6755,87.1519,95.5725,191.9054,28.7335
2023-04-14,51.8774,27.7547,81.9512,16.1765,110.966,155.7015,646.5212,35.6613,44.0578,137.5642,70.82,104.3347,47.9969,29.0495,14.0227,39.7045,245.8691,131.0909,92.7807,18.699,191.8663,54.2426,259.3689,53.2825,69.3262,109.697,86.4878,94.9666,189.3197,28.6414
2023-04-17,52.5518,28.1922,87.8114,16.5398,113.464,159.5148,664.6021,36.5923,45.882,138.6285,72.29,108.835,48.3881,29.7712,14.2207,40.5444,250.2914,133.881,96.0499,19.1351,193.6655,55.399,263.0582,54.0327,70.4022,112.793,87.834,97.8402,193.9266,29.0468
2023-04-18,52.1676,28.1236,89.0619,16.5225,113.6529,158.8731,662.3678,36.5303,45.5189,137.4489,71.98,108.6764,47.9696,29.8704,14.3154,40.4532,250.1677,132.9896,96.0068,18.877,193.0627,55.4984,259.5743,54.1935,70.5987,113.3151,87.9327,97.271,193.1072,28.9547
2023-04-19,52.6201,28.2437,88.0943,16.609,114.64,160.6514,663.6821,36.9115,46.5996,135.755,72.25,110.2969,48.8702,30.0328,14.1777,40.8366,252.3266,134.2286,96.6623,19.0194,193.007,56.1037,258.2791,54.3543,71.3473,114.6433,87.9327,98.1523,196.1117,29.0008
2023-04-20,52.8676,28.4153,86.0314,16.462,108.9574,158.7906,661.8609,36.9115,45.199,134.7351,72.24,109.0551,48.7428,29.9426,13.8592,40.6996,245.9642,133.15,95.5496,18.7435,190.6607,55.3539,256.948,54.0774,71.0011,112.8938,87.0891,97.6657,192.7612,28.7059
2023-04-21,53.2091,28.5955,88.213,16.5917,108.1333,158.8823,669.3524,36.8229,45.0607,134.061,71.86,109.5924,49.0431,30.0328,13.9625,41.2474,244.2999,133.8275,95.4547,18.8058,189.316,55.381,257.7074,54.2292,70.7672,113.1961,87.3045,98.0422,193.3985,28.5953
2023-04-24,53.0042,28.4754,88.9889,16.2803,106.8543,158.6531,669.3805,36.4948,44.9829,135.0011,71.07,109.2489,49.4524,29.6359,14.083,41.6126,243.1016,133.6938,95.0838,18.8681,189.1306,55.2906,257.359,53.5862,70.4865,112.8388,86.1378,97.5648,192.7248,28.199
2023-04-25,52.9615,28.3552,89.1258,16.3149,104.9229,157.2873,666.6017,36.2288,43.4872,133.3338,70.48,106.1577,49.3615,29.2028,13.7042,42.3247,239.2975,131.7862,94.2126,18.788,187.0903,54.6763,259.0562,53.7737,71.4783,110.5031,86.0301,96.2703,189.256,27.5447
2023-04-26,52.3384,28.1493,89.1532,16.1419,103.1288,156.8015,663.485,35.9717,44.248,132.4913,69.94,105.7085,48.9976,28.9953,13.6009,41.8317,237.947,131.3939,93.4535,18.4854,185.792,54.4324,257.8324,53.1128,71.2724,109.065,84.9621,95.5082,187.5352,26.8997
2023-04-27,53.175,28.5612,92.8774,16.4273,105.5581,162.8422,675.7736,36.4327,45.6659,134.0256,76.14,108.0776,50.0165,29.6539,13.6956,43.0368,244.2714,134.8883,95.4029,18.877,190.7071,55.8417,261.2269,53.9524,72.9754,111.9137,86.8288,97.8035,192.5245,27.084
