Date,03CF95,061366,070B45,07EC43,09DE1F,09E31A,0B57D7,12DE76,17EDA5,190B91,1D9E55,2158DF,228D42,26CC63,30A565,351EC3,39BFF6,3DC887,41B0E2,442769,49BBBC,4AC91D,504FE2,507AE7,55C9B5,60F8A4,63F892,64E346,66ECFD,69345C,6ABCB8,6F6559,790C34,7B0BA6,7C62A3,7E1D5D,7F9984,808319,87B81A,89F693,8D4486,91B8B1,934CC3,93D207,93F143,A247F5,A4BCDE,A52B6B,A5B913,BB07E4,BB127B,BB5271,BB88B6,C44D01,C9881C,CC6FF5,CDFCC9,CE96E7,CFF15D,D29B44,D2AC74,D437C3,D4AC65,D60BB2,D6489C,D8442A,DBB28E,E09E2B,E49AA3,E4CE73,E68C3D,EB5E78,EC99D0,EPAM,F11638,F40EE2,F57F6F,VERALTO
2023-03-16,73.9546,206.56,294.93,56.0752,60.9692,119.99,50.049,46.2363,29.4263,109.49,97.8924,314.08,269.8031,77.8181,9.723,170.6705,161.7781,40.67,140.92,331.42,55.7329,25.5157,89.5789,379.2855,341.9728,117.8376,61.88,200.59,202.135,96.6,486.7119,98.8313,80.5,48.6752,97.15,374.0,273.6697,55.9583,187.6071,15.2217,113.1457,240.9301,58.0643,212.5677,104.6817,679.97,120.0663,94.885,191.7857,37.7578,185.0364,72.53,442.39,201.1,353.29,207.82,76.2713,26.5967,112.5489,191.96,216.98,119.47,49.45,142.3242,81.8061,153.6393,13.3445,25.519,260.6084,155.39,177.9934,104.5646,29.7662,279.93,409.9739,30.9374,305.95,
2023-03-17,72.6018,199.62,288.71,55.4895,60.4395,118.15,49.3855,46.3009,29.0654,108.17,95.5935,311.09,272.9583,78.404,9.55,168.5786,160.4812,40.815,140.73,326.61,55.8215,25.2724,87.5844,377.1941,343.604,116.2528,61.22,199.11,199.7184,97.84,477.2703,97.7945,78.28,48.1992,96.65,372.53,270.6209,55.8212,182.2478,15.3629,112.2293,238.1485,57.5865,212.509,103.8223,654.94,119.8415,94.56,190.9659,37.306,182.616,73.61,441.0,183.64,358.14,206.88,74.8433,26.401,112.7544,187.2,213.12,118.71,48.75,140.7387,82.2305,152.8014,13.1486,25.7029,256.3972,155.16,177.2495,103.0648,29.5306,279.79,405.6011,30.464,302.49,
2023-03-20,72.8207,204.68,290.84,56.3632,61.6599,118.4,49.8644,46.9928,28.4316,110.81,96.8351,313.6,265.9251,80.5289,9.852,171.6784,163.6322,41.05,142.62,327.1,56.787,25.4075,88.6688,379.3245,343.2699,117.5169,61.54,200.42,202.2006,96.81,483.164,99.768,79.98,48.1151,99.21,375.59,264.2008,56.7447,185.5332,15.6642,114.2708,240.5776,58.9918,213.2519,105.2053,682.55,121.2491,94.715,195.7363,37.837,183.0112,75.14,435.15,192.51,362.88,207.07,76.3084,26.4913,113.7724,199.08,213.72,119.12,48.98,146.0719,83.8701,155.1674,13.4657,25.8777,260.1523,155.56,178.4035,104.0225,30.1526,275.04,403.7873,30.8445,308.15,
2023-03-21,76.312,209.25,294.43,56.8241,61.4322,123.69,49.2884,46.7437,27.749,113.04,99.3765,314.42,267.4392,81.9588,10.825,171.5928,162.9472,42.02,144.83,329.57,57.7624,25.7861,89.6951,374.5773,348.429,118.3188,62.46,207.15,204.2894,95.93,487.1713,100.3046,81.35,49.5525,100.92,374.36,271.0215,57.429,188.4891,16.0595,114.8425,245.4073,60.1347,216.9666,105.067,696.88,117.691,97.245,198.1265,38.178,186.3997,75.7,445.46,207.63,374.22,207.88,76.3084,26.6945,115.6216,210.63,219.68,120.39,49.9,146.2256,84.4681,157.0207,13.7548,26.1765,263.597,157.25,179.6815,105.4997,30.294,279.66,413.7781,31.253,314.06,
2023-03-22,73.9447,205.01,288.11,55.1534,60.8697,121.17,49.1854,45.6274,27.4273,111.35,95.9524,309.13,265.9837,81.7503,11.254,167.9415,161.0383,41.515,140.67,320.71,57.3092,25.1011,88.4074,371.4644,344.9503,116.7999,61.21,198.38,199.7559,97.58,478.7364,97.3761,78.82,47.8538,99.47,371.35,260.7611,55.9679,184.7966,15.4759,112.556,241.2635,57.6615,215.0995,103.1012,678.7,116.1856,95.445,194.7289,37.8175,184.2559,74.15,433.51,202.15,361.71,204.0,74.7134,26.115,113.9124,202.16,213.51,118.57,48.53,141.7957,84.7767,155.5913,13.4564,26.4452,259.5993,154.83,177.9743,103.2906,29.606,275.13,406.111,30.4176,312.1,
2023-03-23,72.1741,210.19,288.75,55.8447,61.6715,120.3,50.8651,45.8765,28.3048,111.1,95.4868,314.65,271.2293,82.5546,11.4,173.0952,164.6551,42.3475,140.3,322.55,60.4323,24.9839,87.4101,378.2252,348.2324,118.064,63.25,201.14,200.0931,100.28,498.9586,98.1128,80.97,46.6404,102.48,379.4,266.1063,56.9666,185.2037,15.3912,111.939,258.7817,57.6428,217.5923,106.3018,680.85,120.0174,96.945,198.1462,38.1829,185.1747,75.05,440.47,204.66,369.0,207.0,76.3177,26.544,115.9484,199.76,215.72,119.98,48.69,140.9501,84.661,156.6757,13.3072,27.1676,260.2009,156.44,180.6829,105.1338,30.2752,284.45,424.0335,30.3155,308.54,
2023-03-24,73.4871,211.1,288.73,56.3152,61.3762,116.92,48.7735,46.5961,28.6266,112.52,95.4771,315.7,274.0719,82.7829,11.083,167.8749,163.9518,42.235,141.12,329.48,60.255,24.9839,88.4752,364.8593,345.5399,117.6207,62.99,200.22,200.5708,97.95,474.4261,98.9859,77.81,46.3884,100.92,376.56,265.3636,57.0036,185.7948,15.4383,113.6811,259.1056,57.2025,216.0771,105.0472,690.94,116.8406,95.775,199.3907,38.2949,187.763,76.05,432.9,195.99,374.96,204.48,73.6563,26.5365,116.5181,200.82,216.58,121.7,49.44,141.4882,84.8828,157.9769,13.2699,26.756,263.6164,156.7,179.0043,103.8508,30.803,278.5,421.1706,30.4918,312.11,
2023-03-27,72.9102,210.14,288.86,56.6609,60.4761,117.91,48.1624,46.6238,28.4512,111.77,96.1755,316.94,269.979,82.3957,11.09,165.6404,161.705,41.99,139.35,332.25,58.9052,25.1372,88.4752,363.8378,348.4781,118.0923,63.98,198.75,200.7862,96.61,471.9142,99.2041,75.67,46.8644,98.52,373.92,266.2626,57.3458,185.7561,15.8054,117.3286,260.9727,57.7645,216.8298,104.0693,688.63,116.1954,96.265,201.4154,38.139,188.9485,76.37,431.31,195.83,373.15,205.27,71.913,26.4989,115.4348,203.58,218.59,123.17,49.72,143.5926,86.9371,156.0349,13.9972,26.5082,266.0616,155.75,176.2194,102.1974,30.9161,285.0,418.592,30.9559,312.46,
2023-03-28,72.3134,210.01,290.15,56.6033,60.2696,116.61,47.1239,46.4854,28.5584,111.28,96.5926,317.71,268.8556,82.6539,10.278,164.6991,162.1069,40.75,139.85,330.99,58.4028,24.9028,88.2041,360.9098,348.1931,117.3942,64.27,197.27,200.5895,94.56,464.3003,99.1132,76.53,47.2751,97.61,369.87,266.8001,55.8846,180.0866,15.7207,117.3558,261.9634,56.9401,215.383,102.9431,679.52,113.781,95.38,201.6031,38.0416,189.976,76.58,429.08,193.52,373.4,203.28,72.2004,26.0473,113.3241,202.24,215.6,123.24,49.9,143.8713,86.6574,155.4138,13.9413,26.3873,264.7808,155.31,175.1036,102.369,31.0669,283.0,411.1308,31.1416,314.73,
2023-03-29,73.7855,215.35,296.12,57.141,60.3468,118.8,50.1034,47.2049,30.7326,111.84,100.2301,320.07,274.0133,84.0241,10.565,170.2046,165.3492,40.625,141.95,341.05,62.5997,25.5157,88.5333,374.6649,353.3031,120.1489,64.81,199.16,205.9754,96.09,479.8115,105.5249,79.87,48.0405,100.19,375.04,279.3471,58.9919,182.49,15.6642,117.6915,266.6692,58.1299,218.2863,106.0845,698.13,117.1534,96.095,202.8377,38.8795,194.2635,76.73,438.44,203.95,379.16,206.0,74.9916,27.545,116.8263,207.43,216.83,124.71,51.44,142.7182,87.4001,158.4896,14.4728,26.9608,268.5941,156.65,180.4158,105.2422,31.4534,285.76,424.8179,31.8934,318.36,
