Date,12E454,251988,3C7F5F,4A6F00,4A6F00_2,57DDB9,622DBE,8A8E41,9C25FF,A01664,A13375,A13375_2,A18D3C,ADF092,C8257F,C83B88,D88EF3,DB06B0,DD1BA1,DD1BA1_2,E30B34,ECD263
2023-03-16,203.5114,15.5553,18.8889,99.4904,100.2401,136.097,35.5442,29.8229,67.66,115.55,31.7123,29.0002,92.7494,14.16,80.3433,31.0908,346.45,111.7906,16.0823,15.9252,30.5506,31.006
2023-03-17,194.2559,15.3353,18.8601,100.7796,101.6187,137.001,35.6413,29.9941,66.34,116.28,31.5101,28.885,91.6772,14.34,79.2943,30.9107,350.01,111.6133,15.7681,15.6016,30.2635,30.35
2023-03-20,196.4406,15.6398,19.1473,100.3829,101.0931,140.0401,36.146,30.5158,68.03,116.31,32.184,29.4608,92.6806,14.24,81.5948,31.2539,348.75,111.7807,15.8957,15.7585,31.1428,30.513
2023-03-21,200.7605,15.6821,20.3441,104.0523,104.971,139.1361,37.2234,30.7686,69.23,118.59,32.4728,29.7775,94.9627,15.09,82.7267,31.7343,352.29,113.179,16.0037,15.8958,31.7529,30.579
2023-03-22,198.4268,15.5553,19.8079,102.5152,103.3643,137.9724,38.0679,30.418,66.24,113.56,32.0781,29.336,93.3495,14.51,80.647,31.0565,341.83,111.4263,15.6208,15.5231,30.9364,29.39
2023-03-23,202.8659,15.6145,19.8558,104.7267,105.3875,136.8567,38.5532,30.4669,65.34,117.48,32.4151,29.6623,94.2643,14.53,81.558,30.8592,342.17,114.2621,15.9645,15.8663,31.4299,32.037
2023-03-24,204.5839,15.7413,19.3675,104.568,105.1892,137.0876,39.0191,30.7034,65.95,118.12,31.8278,29.1537,92.5429,14.0,80.6378,30.8163,343.95,117.2063,16.043,15.9056,31.4389,32.839
2023-03-27,201.4358,15.9613,19.8749,101.6127,102.2138,138.3955,39.1452,31.0213,67.09,116.98,32.3766,29.7295,94.0577,14.34,81.4568,31.2281,348.36,116.8223,16.2786,16.1703,31.8606,32.766
2023-03-28,199.2908,15.8344,20.4972,100.1945,100.5277,137.328,38.3348,30.9806,67.85,115.55,31.539,28.9138,93.2708,14.48,81.65,31.271,345.54,116.2118,16.4357,16.2782,31.6183,32.352
2023-03-29,203.9284,16.0712,20.593,100.5515,101.0633,138.309,38.0193,31.3719,68.61,116.67,31.9337,29.288,95.2873,14.66,83.2604,31.7,349.71,117.3639,16.7499,16.6018,31.6901,33.203
2023-03-30,206.4012,16.1389,20.7844,100.0557,100.4881,139.0399,36.5051,31.5186,69.2,116.59,32.4151,29.6431,96.4972,14.85,85.34,31.8716,349.05,117.2752,16.7794,16.641,32.713,33.843
2023-03-31,210.4728,16.2827,21.3589,102.8722,103.1461,139.2996,37.2622,31.7061,70.0,119.3,32.7809,30.0462,98.494,15.1,86.8124,32.5236,357.61,118.6046,17.1132,16.9352,33.4128,34.548
2023-04-03,211.595,16.4011,20.861,103.497,104.0486,141.1461,37.3205,31.9752,69.31,118.69,32.9061,30.1037,98.1301,14.81,87.6038,32.6094,356.21,119.4908,17.2801,17.0823,33.7089,34.828
2023-04-04,213.2336,16.6126,20.6887,103.854,104.2569,140.7134,35.9422,32.3258,69.39,121.64,32.6076,29.9022,97.9432,15.15,87.2265,32.6526,348.12,123.3212,17.1426,16.9842,33.5833,34.675
2023-04-05,210.016,16.8156,20.1047,103.6061,104.0883,143.4159,34.9522,32.7008,68.8,120.98,32.4825,29.7679,98.2776,14.79,86.1774,32.7823,353.12,124.2172,17.1328,16.9842,33.2244,34.235
2023-04-06,214.604,16.8563,20.7366,107.5234,108.0058,143.8871,34.6707,32.7194,69.13,119.0,32.2033,29.4992,98.3366,15.11,85.6253,32.5834,350.27,123.2424,17.123,16.9352,33.1885,33.933
2023-04-10,213.2634,16.7877,21.3493,105.5598,106.0718,144.2526,34.6221,32.6117,69.73,121.04,32.6654,29.931,99.1629,15.4,85.7725,33.0503,353.89,123.6954,17.2212,17.0627,33.2603,33.899
2023-04-11,212.3696,16.8906,21.9046,104.4788,105.2487,144.2141,35.0395,32.6946,70.18,120.39,32.9157,30.1997,98.7793,14.93,86.1038,33.1799,358.52,123.7544,17.3979,17.2588,33.4397,33.821
2023-04-12,212.5186,16.9593,21.1865,103.7747,104.3561,143.7909,33.37,32.4874,69.9,119.68,32.4728,29.7583,96.3398,14.06,86.1222,32.5402,343.28,124.1975,17.1525,16.9646,33.6012,33.103
2023-04-13,218.8246,17.1223,21.1961,106.5416,107.3017,144.618,34.6804,32.5868,70.54,122.01,32.675,29.9118,99.1924,14.04,86.8768,32.8946,347.63,126.3146,17.4666,17.2784,34.0678,34.619
2023-04-14,219.9567,17.0965,20.66,107.9697,108.5612,143.8679,34.3212,32.504,68.96,123.07,32.1648,29.5088,98.2678,13.78,87.4289,32.8168,341.5,125.9109,17.231,17.0627,33.987,33.863
2023-04-17,217.3449,16.9764,21.1387,105.0937,105.5462,144.7335,35.0007,32.7029,68.43,124.38,32.7231,29.9598,98.6612,14.53,88.0731,32.9292,346.19,126.1177,17.1721,16.9842,34.1575,33.272
2023-04-18,216.3816,17.0022,20.8898,103.6358,104.2569,144.57,34.1757,32.2719,67.71,124.31,32.7328,29.9406,99.2809,14.27,88.4688,33.0848,343.32,127.063,17.1328,16.9352,34.4626,33.37
2023-04-19,214.2068,16.8992,21.5982,103.3185,104.1577,143.0889,34.0883,31.9901,67.75,123.35,32.5787,29.8062,97.1366,14.29,84.8063,33.0676,343.67,126.2161,17.2212,17.0627,33.6371,32.312
2023-04-20,211.595,15.1407,21.2057,104.4193,105.0305,140.3575,33.603,30.8216,66.88,125.14,32.4439,29.6431,96.4677,13.83,84.8983,32.618,336.0,126.8266,17.1328,16.9352,33.4666,32.535
2023-04-21,211.4163,15.6296,21.5695,104.5383,105.0404,140.6268,33.8942,30.9293,66.98,124.99,32.3669,29.5759,97.9432,13.58,86.3615,32.6266,332.71,127.1319,17.123,16.945,33.6461,32.798
2023-04-24,211.3169,15.0377,21.6174,105.0937,105.9032,140.2806,33.4671,30.747,67.2,127.79,31.4235,28.7027,98.0514,13.36,86.2971,32.1685,330.83,127.4962,17.1034,16.9156,33.5294,32.902
2023-04-25,206.1132,15.0206,21.0334,102.9912,103.7511,142.3387,32.1956,30.9127,66.4,127.01,31.2309,28.5203,96.4086,12.81,85.6621,31.9005,323.94,127.5159,16.7695,16.5724,33.1975,32.255
2023-04-26,207.9504,14.7546,20.727,102.8524,103.5924,142.608,32.1568,30.5978,65.42,121.6,31.2598,28.5299,95.0315,12.58,83.3156,31.5719,320.63,123.203,16.5143,16.3272,32.7937,32.115
2023-04-27,236.9085,15.1064,22.096,106.7003,107.4802,144.2045,33.9621,32.1476,67.36,123.95,31.6353,28.933,98.2973,13.09,83.0579,34.8139,342.75,124.5717,17.0346,16.8175,31.5914,32.585
2023-04-28,238.6564,15.1578,22.3354,106.4523,107.3314,138.3955,35.816,32.1807,67.78,124.29,32.0203,29.3072,100.8253,13.61,83.3432,35.7648,368.7,125.3299,17.4274,17.2686,32.058,32.993
2023-05-01,241.4966,15.012,22.4407,106.3135,106.8256,137.7319,34.9133,32.0813,68.4,124.14,32.0589,29.384,100.54,13.29,84.8247,35.9982,366.51,125.4678,17.2114,17.0333,32.4348,32.412
2023-05-02,237.5838,14.6431,22.0099,104.449,105.1098,134.991,33.5739,31.2194,67.75,121.62,31.8278,29.1057,98.9563,12.69,83.7757,35.6179,357.23,124.2271,16.799,16.6508,31.9772,31.755
2023-05-03,235.3891,14.6603,21.9141,104.5383,105.2487,134.5582,32.5838,31.4763,67.27,122.14,31.4812,28.7602,99.2121,12.83,80.0949,35.3499,356.9,123.1538,16.8775,16.6999,31.0979,31.93
2023-05-04,231.9034,14.5059,15.7008,103.8242,104.3461,135.8565,32.6032,30.9542,67.07,120.28,29.9986,27.4743,95.8578,12.33,80.7206,34.7706,348.78,122.11,16.5437,16.3959,30.7032,32.078
2023-05-05,231.1686,14.6946,16.1412,104.697,105.3429,138.0685,32.2441,31.352,77.16,124.51,30.7784,28.2037,98.8776,12.89,82.5886,34.9522,350.85,123.4984,16.9463,16.7881,31.9324,32.276
2023-05-08,231.6552,14.686,16.2657,106.8788,107.3513,138.6648,31.5258,31.352,77.82,125.69,30.971,28.3668,101.2876,13.46,84.6407,35.0905,350.5,123.8332,16.9659,16.8077,32.4169,33.121
2023-05-09,231.7545,14.6002,15.8253,106.4623,107.0537,136.5971,30.9726,31.1365,77.63,124.6,30.4992,27.9446,100.5105,13.41,84.3554,34.2519,339.0,123.4886,16.7695,16.6018,32.1567,33.214
2023-05-10,231.4665,14.6174,15.1743,110.8259,111.3581,136.5971,31.4094,31.1862,78.56,124.74,30.0275,27.4839,99.4875,13.04,83.8677,34.4594,339.94,122.8288,16.5241,16.337,32.1746,33.542
2023-05-11,234.1577,14.5488,14.7147,115.606,115.9401,137.2414,30.7688,31.1614,77.76,125.57,29.5269,27.0233,90.8018,12.38,83.8585,34.9003,341.71,123.3999,16.5241,16.4155,32.5335,34.476
2023-05-12,232.1914,14.6088,14.3797,116.5382,116.9518,138.6071,29.9534,31.1531,78.15,125.26,29.575,27.1289,90.487,12.51,85.4321,34.762,338.09,123.5477,17.9576,17.808,32.9911,33.989
2023-05-15,237.2065,14.5402,15.136,115.5465,115.9997,139.088,31.487,30.4735,80.39,125.07,29.8542,27.4647,91.3428,12.81,84.4014,34.7533,343.24,122.9273,18.5368,18.4061,32.2554,33.589
2023-05-16,237.1667,14.1799,14.3126,118.5217,119.104,138.2032,30.5552,29.8768,80.75,124.05,29.3921,27.0713,89.4935,12.15,84.5487,34.3557,335.34,123.203,18.1343,18.0139,32.4617,33.375
2023-05-17,240.8064,14.2914,14.9062,119.8407,120.4825,136.1643,30.662,29.9845,82.05,125.02,30.2104,27.7622,91.2543,12.51,85.5149,34.8312,338.54,123.0061,18.4779,18.3571,33.2872,33.996
2023-05-18,245.1412,14.1971,15.0402,121.8142,122.5058,132.8943,31.0794,29.9431,84.5,139.63,29.9312,27.5415,92.2281,12.4,86.702,35.713,343.61,124.2763,18.5172,18.4061,34.4626,37.129
