Date,1151F4,147C38,2BAE5F,2CB4C9,342218,343996,58B46F,5A9A82,652E62,6DBBBC,6E7060,6ED519,789A7D,7AC86E,7B1E50,7BAAE7,977A1E,97AAF6,9C8BC3,AFD7DD,B2E6B5,B303A6,B560AF,B642E8,D9B1C9,DB5CA5,E10D31,F93C8A,FD39EB
2023-03-16,61.1061,61.2277,67.0457,69.8247,69.1836,85.2047,27.4225,24.7399,15.9671,133.9584,47.5687,25.3234,78.917,98.4204,35.3876,56.6624,48.1757,86.8751,20.48,53.2794,107.3583,37.3042,54.0095,67.766,82.8299,86.4228,59.4968,48.2626,29.4726
2023-03-17,60.7789,61.03,66.2687,69.3117,68.2691,84.6568,27.1607,24.4034,15.9078,133.1696,46.9712,24.8796,77.9723,97.3045,35.0615,56.1317,47.7619,86.2706,19.7224,52.6985,107.6869,37.2953,53.4162,66.2392,81.6506,85.7026,58.4445,47.9739,29.3514
2023-03-20,61.2424,61.6142,66.5044,69.5865,70.0101,84.9262,27.2542,24.8036,15.809,133.8739,47.645,25.1966,78.8436,98.5408,35.5375,56.635,47.9516,87.4254,19.9514,52.8481,107.8653,37.0121,54.1372,67.2282,82.6048,86.5206,59.514,48.5063,31.356
2023-03-21,59.5248,60.3379,65.4044,69.0278,68.0581,82.5549,26.4034,24.3579,15.7794,130.3993,46.3334,24.4358,76.7984,96.6227,34.709,54.8597,46.6325,84.0694,20.2333,51.8887,103.4804,36.0032,53.4162,66.6219,80.0302,84.2622,58.4876,46.9273,30.9458
2023-03-22,58.298,59.9604,64.1823,67.9011,66.2467,81.4052,25.8517,23.8849,15.3545,128.0704,45.1116,23.8833,75.0284,94.5228,33.81,53.725,45.8739,83.0861,19.5815,50.6564,100.7387,35.1181,52.1386,64.9791,78.1847,82.644,57.1939,45.7002,29.7989
2023-03-23,57.5346,59.6278,63.9465,67.608,65.1564,80.7765,25.5432,23.5666,15.1075,128.3897,45.0757,23.5301,73.9279,93.3229,33.2723,53.0387,45.0204,82.7523,19.3436,50.3043,100.0158,34.6933,51.7826,63.9221,76.8884,81.3992,56.961,45.1498,28.9132
2023-03-24,59.5703,61.6502,66.1116,69.3301,67.8998,83.7316,26.4969,24.3579,15.4533,133.1978,46.576,24.2275,77.0736,97.0409,34.5239,55.2989,46.4084,85.7655,19.5639,52.3288,102.7011,35.6138,53.6444,65.336,80.2012,83.9066,58.9793,46.7649,29.3607
2023-03-27,59.334,61.3356,66.225,69.1011,67.9525,83.3544,26.6465,24.5216,15.562,133.0475,46.9443,24.4992,77.0277,96.0773,34.4005,54.942,46.667,85.3144,19.9074,52.0383,103.518,35.8616,54.046,66.0407,79.7151,84.1911,59.1087,46.3047,30.0786
2023-03-28,59.4339,61.4704,66.5044,68.9179,68.2075,83.7316,26.8054,24.6399,15.5521,132.6155,47.2003,24.6532,77.5596,96.5864,34.0391,55.2989,47.1757,85.152,20.1981,52.144,103.3396,36.1271,54.6483,66.5578,80.0572,84.2444,59.2553,46.8912,30.433
2023-03-29,60.4699,62.3243,67.7004,69.7148,68.9813,84.7376,27.3944,25.0401,15.6509,135.3576,47.6854,24.9973,78.8803,98.1227,34.6296,55.9761,47.9171,85.8015,20.6649,52.9273,104.7198,36.4191,55.9807,67.9306,81.1105,85.5959,60.2041,47.6581,30.9364
