date,0157B1,03B8CF,55018,61366,0624BE,063384,067779,06EF42,07EC43,095294
2003-09-10,2.3056,31.1212,43.2012,24.74,18.6624,19693,22.1641,11.1387,3.9905,34.0695
2003-09-11,2.2542,31.6429,42.7098,25.0,18.7301,19.8803,22257,11.4107,4.1007,33.9716
2003-09-12,2.2786,31.4925,43.0252,24.6,18764,19.5962,22.8673,11.6108,4.1252,33.2129
2003-09-15,2.2702,31.5381,43.3332,26.88,18.9129,19.4412,23.1526,11.9055,4.0628,33.0824
2003-09-16,2.3066,32.0781,44.0005,27.75,19.9089,17.6721,23.3583,12.1623,4.2944,32.8951
2003-09-17,2.3026,31.9573,44.6238,28.35,20.6538,17.7624,23.2123,12.1056,4.5415,32.4218
2003-09-18,2.3889,32.3173,45.1372,28.17,20.4301,18.0659,23.4379,12.2945,4.4335,32.1527
2003-09-19,2.3734,32.3469,45.1738,28.27,19.9699,18.1628,23.2853,12.2756,4.4981,32.0467
2003-09-22,2.3678,32.3788,44.4112,28.3,19.7938,17.7689,23.3184,11.8601,4.36,31.9651
2003-09-23,2.5161,32.5223,44.1472,27.89,19.8816,18.0143,23.69,11947,4.3845,31.4186
2003-09-24,2.4747,32.1578,42.8785,27.88,19.3735,17.9432,22.7347,11.8979,4.1708,30709
2003-09-25,2.4966,32.2626,42.1378,27.08,19.3668,17.7883,22.6683,11845,4.0628,30.4643
2003-09-26,2.4223,32.6818,41.2578,27.2,19.0348,17.7366,21.8324,11.7468,4.0283,30.0483
2003-09-29,2.4871,32.0188,42.3578,27.32,18.6894,17.8399,22.0447,12049,4.1563,30.8231
2003-09-30,2.4158,31472,41.8298,27.53,18771,17756,21.8192,12.3512,4.0584,30.6438
2003-10-01,2.4502,32.3059,42.9812,27.95,19.8141,17.8851,22.4627,13.2803,4.1385,31.1087
2003-10-02,2.4986,32479,43.4578,27.2,19848,18.1951,22.5489,13.4201,4.2287,31.4432
2003-10-03,2.6383,33.2764,43.7805,27.64,19.8271,18.0788,22.4826,13.6429,4419,32.6423
2003-10-06,2.7011,33.2354,44.2645,27.93,19.8816,17.9174,22.7678,13.9187,4.4958,32.7074
2003-10-07,2.7391,33.3994,44.4185,29.05,20471,17.9626,22.7148,13.9187,4.4524,32.9522
2003-10-08,2.7785,33.1261,44.5945,28.59,20.9314,18.0143,22874,13998,4.4046,32.8296
2003-10-09,2.8862,33.7822,46.4059,27.79,20.9314,18.1111,22.8209,14.0962,4.4624,32.7482
2003-10-10,2.8962,33.7366,45.4525,27.78,20.6132,17.8851,22.6086,14.0584,4.8966,32.9439
2003-10-13,2.9082,33.9553,46.2005,26.69,21.0535,17.8851,22801,14.2775,4.8977,33.5311
2003-10-14,2.9885,34.0237,45.7238,27.53,21.06,17.8658,22.8143,14.5343,4.8954,33.1152
2003-10-15,2.9201,33.5817,44.9172,27.1,20.9653,18.0724,22.5953,14.0131,4.9021,33.1152
2003-10-16,2.9885,33.5316,44.8732,28.81,21.3177,18.0143,22.9536,14.2246,4.7697,32.3402
2003-10-17,2.9775,33.7412,44.3672,29.86,20.8641,17982,22.5821,14.0395,4.7006,32.1362
2003-10-20,2.9725,34.3928,44.7778,29.84,20918,17982,22.4428,14.2473,4.8843,32373
2003-10-21,2.9605,34.4019,45.3058,28.5,20.5386,17.9626,22.2039,14.2473,4.6917,31.7287
2003-10-22,2.6952,34.5477,44.0738,28.75,19.9971,17.8851,21.8921,14.1415,4.6695,31.2883
2003-10-23,2.7096,34.5978,45.8192,28.15,20.3087,17.8528,22.1442,14557,4.6762,31655
2003-10-24,2.7191,34.4839,45.4378,28.9,19.5429,17.8851,22.2504,14.2171,4.6083,31.2801
2003-10-27,2.7346,34.5112,45.2765,29.27,19787,17827,22.6551,14.6288,4645,31.6716
2003-10-28,2.8298,35.1993,47.0219,29.16,20.0643,17.8076,22.9204,14.8705,4768,32.4218
2003-10-29,2.8278,35.3451,46.4792,29.34,19.5767,17.6914,23.1062,15.2331,4.8531,32.2017
2003-10-30,2.7849,35.5684,43.7658,29.53,18.9398,17.7237,23.3317,15.0329,4.9789,31.9408
2003-10-31,2.7151,35.9374,44.5872,29.27,19.3061,17.4977,23.1592,15.0329,5.0524,32316
2003-11-03,2.8303,35901,45.2325,29.02,19.3399,17.4719,23418,15.3653,5.1247,32.2832
2003-11-04,2.8363,36.2245,45.2472,28.32,19.2041,17.1749,23.0863,15.2746,5.0913,32.3973
2003-11-05,2.8303,36.0741,44.9392,27.71,19.0824,16.9747,22.7944,15.8828,5.0134,31.9896
2003-11-06,2743,36.2701,44.6972,27.88,19245,17.1297,23.1062,16.0376,5.1125,32.1854
2003-11-07,2.7091,36.0149,44.0005,28.85,19.1162,17.2717,23.4511,15.1009,5.2483,33.1887
