,SSD SP500,SP500,Risk free rate
2024-01-02,0.9999999999999999,1.0,1.0
2024-01-03,1.0015778392587102,0.9919836892323003,1.0
2024-01-04,0.9995166344384468,0.9885827873108927,1.0
2024-01-05,1.0031887107461082,0.9903876168787914,1.0
2024-01-08,1.0186795917824942,1.0043665700780637,1.0
2024-01-09,1.024282753007187,1.0028822242652125,1.0
2024-01-10,1.0268675970120107,1.008564527748949,1.0
2024-01-11,1.0356056857580558,1.007887716660987,1.0
2024-01-12,1.0385757758961918,1.0086446276032532,1.0
2024-01-16,1.0372180346856803,1.004881030842745,1.0
2024-01-17,1.035490218286485,0.9992367215515479,1.0
2024-01-18,1.0405028491196333,1.0080352446105965,1.0
2024-01-19,1.0644238003356035,1.020447706950329,1.0
2024-01-22,1.070259095434351,1.0226868974286047,1.0
2024-01-23,1.0721030461246055,1.025674543981662,1.0
2024-01-24,1.0752139310851805,1.0265073168022611,1.0
2024-01-25,1.084652222645824,1.0319071307234893,1.0
2024-01-26,1.083599122359158,1.031234536527041,1.0
2024-01-29,1.0915272948273393,1.0390273520445101,1.0
2024-01-30,1.0959823965993165,1.0384032521004705,1.0
2024-01-31,1.1014603643623362,1.0216789971034383,1.0
2024-02-01,1.127289723440399,1.0344435277156565,1.0
2024-02-02,1.1393733239820687,1.0454960003732794,1.0
2024-02-05,1.1473663310393467,1.0421646982463064,1.0
2024-02-06,1.1475165518760368,1.0445725222162183,1.0
2024-02-07,1.1606941944022224,1.053181327326062,1.0
2024-02-08,1.1527410370683773,1.0537822554512337,1.0
2024-02-09,1.161251252810135,1.0598334315201383,1.0
2024-02-12,1.1581891018770925,1.0588276818096436,1.0
2024-02-13,1.1657038640390966,1.0443490058815306,1.0
2024-02-14,1.1885155804931564,1.0543536231668935,1.0
2024-02-15,1.2129302047425454,1.0604912876807455,1.0
2024-02-16,1.1884221926897014,1.055397240563182,1.0
2024-02-20,1.1804468423415004,1.0490592526179674,1.0
2024-02-21,1.1724380087836768,1.0503854649990518,1.0
2024-02-22,1.2259785189706367,1.0725726396988162,1.0
2024-02-23,1.2230740717591289,1.0729458345977858,1.0
2024-02-26,1.2267288386617932,1.0688828596242568,1.0
2024-02-27,1.2333293560328675,1.0707067495417977,1.0
2024-02-28,1.2367136129979976,1.0689313538766652,1.0
2024-02-29,1.2515559985032685,1.0745208857470987,1.0
2024-03-01,1.2686446434677778,1.0831254739654284,1.0
2024-03-04,1.3039143136795217,1.0818330178009117,1.0
2024-03-05,1.3101710431238291,1.070805783238999,1.0
2024-03-06,1.3262225490609363,1.0763109140257838,1.0
2024-03-07,1.3400078978050272,1.0874013597914882,1.0
2024-03-08,1.3232528615444172,1.0803022229280361,1.0
2024-03-11,1.3006800293297398,1.079089866617824,1.0
2024-03-12,1.3258118774736989,1.0911776072265376,1.0
2024-03-13,1.3313693174660528,1.0890776163371316,1.0
2024-03-14,1.345678678939153,1.0859507701952047,1.0
2024-03-15,1.3345084553572122,1.0789106276440303,1.0
2024-03-18,1.3397704210417634,1.0857272538605167,1.0
2024-03-19,1.3528074104135284,1.091860701482855,1.0
2024-03-20,1.3760419152102967,1.1015828081212524,1.0
2024-03-21,1.3934338686635466,1.1051481266427823,1.0
2024-03-22,1.3964145342626701,1.1035985033492977,1.0
2024-03-25,1.4110910142832784,1.1002270353306562,1.0
2024-03-26,1.3900284474028703,1.0971466382487536,1.0
2024-03-27,1.3951401416421076,1.1066156892274088,1.0
2024-03-28,1.4039118248860607,1.1078512173564892,1.0
2024-04-01,1.4147430177815101,1.1056204606612412,1.0
2024-04-02,1.4062363568780747,1.0976168216525402,1.0
2024-04-03,1.4261505428146795,1.098814439926912,1.0
2024-04-04,1.3984477851989983,1.0852613084327014,1.0
2024-04-05,1.4329515083372975,1.0973068168729045,1.0
2024-04-08,1.4250307352864504,1.0968957332036835,1.0
2024-04-09,1.3881094087302197,1.0984813054973233,1.0
2024-04-10,1.390832982201864,1.0880929721686634,1.0
2024-04-11,1.3966702421166202,1.0961936207666387,1.0
2024-04-12,1.3730523311051075,1.080243249700216,1.0
2024-04-15,1.3603340895062868,1.0672572479456939,1.0
2024-04-16,1.3616317160317548,1.0650624402506006,1.0
2024-04-17,1.361704205121034,1.0589057364715637,1.0
2024-04-18,1.3394794382749735,1.0565674912116292,1.0
