,TAF-SSD-sectors-unscaled BASIC_MATERIALS+CONSUMER_CYCLICALS+CONSUMER_NON_CYCLICALS+ENERGY+FINANCIALS+HEALTHCARE+INDUSTRIALS+REAL_ESTATE+TECHNOLOGY+TELECOMMUNICATIONS_SERVICES+UTILITIES
2024-01-02,0.9999999999999998
2024-01-03,0.9983348631451913
2024-01-04,0.9980249662547064
2024-01-05,0.9986456453147916
2024-01-08,1.0056417946267824
2024-01-09,1.0077192720898644
2024-01-10,1.0086935110986366
2024-01-11,1.009291167161354
2024-01-12,1.0121372310836756
2024-01-16,1.0078929801754357
2024-01-17,1.0054173747817658
2024-01-18,1.009840167559043
2024-01-19,1.0134762863673918
2024-01-22,1.0160404338306435
2024-01-23,1.0206095681843987
2024-01-24,1.0170001416092902
2024-01-25,1.0268467580635554
2024-01-26,1.0303101477599006
2024-01-29,1.034596587984136
2024-01-30,1.0406181455269412
2024-01-31,1.0340094709804544
2024-02-01,1.0460559699143692
2024-02-02,1.045706111182537
2024-02-05,1.0395839994383764
2024-02-06,1.0378858885572484
2024-02-07,1.0381217015139677
2024-02-08,1.033419163528433
2024-02-09,1.0339578451445368
2024-02-12,1.0338139846612475
2024-02-13,1.0312344699473897
2024-02-14,1.0378871376218348
2024-02-15,1.0479236974686865
2024-02-16,1.0444631436027985
2024-02-20,1.0459654062060384
2024-02-21,1.048071893706514
2024-02-22,1.0612743278627583
2024-02-23,1.06950352533928
2024-02-26,1.0664338133073301
2024-02-27,1.067388631874519
2024-02-28,1.0666079575780132
2024-02-29,1.068925186264916
2024-03-01,1.0730651105068236
2024-03-04,1.0768111458420788
2024-03-05,1.077998323294418
2024-03-06,1.0840944867656308
2024-03-07,1.0923948878142988
2024-03-08,1.0895460946977003
2024-03-11,1.0819918725983915
2024-03-12,1.0937150766724952
2024-03-13,1.0982916191396956
2024-03-14,1.1013278699054392
2024-03-15,1.0960819934540247
2024-03-18,1.103300081139431
2024-03-19,1.112967147929692
2024-03-20,1.1271365764485755
2024-03-21,1.1320593829657217
2024-03-22,1.1297425503135297
2024-03-25,1.1323890450117624
2024-03-26,1.121388630382413
2024-03-27,1.1309662147082338
2024-03-28,1.1371774447747771
2024-04-01,1.135363777294483
2024-04-02,1.1334073801557294
2024-04-03,1.1435853364016118
2024-04-04,1.132040361870375
2024-04-05,1.1449869426761559
2024-04-08,1.1425730122362967
2024-04-09,1.134373235423668
2024-04-10,1.1298589550860396
2024-04-11,1.1245758479984669
2024-04-12,1.1131872812074068
2024-04-15,1.1063127354425202
2024-04-16,1.1045194084448042
2024-04-17,1.1043228444703208
2024-04-18,1.099722747661292
2024-04-19,1.104046041435417
2024-04-22,1.1087373524288662
2024-04-23,1.1122071218490461
2024-04-24,1.1178024442616608
2024-04-25,1.1148800737369
2024-04-26,1.1249886358194408
2024-04-29,1.1340350506542571
2024-04-30,1.121346406569471
2024-05-01,1.1162753995873311
2024-05-02,1.1198787552375618
2024-05-03,1.1283332605644198
2024-05-06,1.1354672149621772
2024-05-07,1.1395664524916294
2024-05-08,1.1419219672140521
2024-05-09,1.1461148753687855
2024-05-10,1.1436228117405205
2024-05-13,1.1418202195541842
2024-05-14,1.1407983968320872
2024-05-15,1.1441337962914564
2024-05-16,1.1428747383167248
2024-05-17,1.1472569849997378
2024-05-20,1.1468143352206623
2024-05-21,1.1479860300405635
2024-05-22,1.145587244154249
2024-05-23,1.136232313464943
2024-05-24,1.1411692071382986
2024-05-28,1.1327211281741099
2024-05-29,1.1240861266963007
2024-05-30,1.1226845674289114
2024-05-31,1.1326897738958768
