date,status,status_code,objective,V,best_bound,mip_gap,solve_time_s,n_iterations,n_nodes,n_lazy_calls,n_lazy_cuts,cplex_cuts,n_variables,n_constraints
2024-01-02,integer optimal solution,101,6.514216582493903e-05,6.514216582493903e-05,6.514216582493903e-05,0.0,1.3483870029449463,206,0,204,203,203,707,401
2024-01-03,integer optimal solution,101,6.536810663280331e-05,6.536810663280331e-05,6.536810663280331e-05,0.0,2.2083940505981445,205,0,332,331,331,707,401
2024-01-04,integer optimal solution,101,6.547764055426724e-05,6.547764055426724e-05,6.547764055426724e-05,0.0,2.9306139945983887,208,0,427,426,426,707,401
2024-01-05,integer optimal solution,101,6.555488748868235e-05,6.555488748868235e-05,6.555488748868235e-05,0.0,3.8701231479644775,208,0,537,536,536,707,401
2024-01-08,integer optimal solution,101,6.920177444927369e-05,6.920177444927369e-05,6.920177444927369e-05,0.0,2.6846320629119873,207,0,393,392,392,707,401
2024-01-09,integer optimal solution,101,6.941383619031326e-05,6.941383619031326e-05,6.941383619031326e-05,0.0,2.445089817047119,212,0,356,355,355,707,401
2024-01-10,integer optimal solution,101,6.917728852645409e-05,6.917728852645409e-05,6.917728852645409e-05,0.0,3.6830291748046875,209,0,508,507,507,707,401
2024-01-11,integer optimal solution,101,6.919100483008845e-05,6.919100483008845e-05,6.919100483008845e-05,0.0,2.0780580043792725,205,0,316,315,315,707,401
2024-01-12,integer optimal solution,101,6.908503602489176e-05,6.908503602489176e-05,6.908503602489176e-05,0.0,2.248070001602173,205,0,342,341,341,707,401
2024-01-16,integer optimal solution,101,6.932535383780662e-05,6.932535383780662e-05,6.932535383780662e-05,0.0,3.7139971256256104,206,0,517,516,516,707,401
2024-01-17,integer optimal solution,101,6.9413100395208e-05,6.9413100395208e-05,6.9413100395208e-05,0.0,3.740669012069702,206,0,507,506,506,707,401
2024-01-18,integer optimal solution,101,6.937727100041593e-05,6.937727100041593e-05,6.937727100041593e-05,0.0,2.7974298000335693,211,0,407,406,406,707,401
2024-01-19,integer optimal solution,101,6.896293420689554e-05,6.896293420689554e-05,6.896293420689554e-05,0.0,1.8378610610961914,211,0,277,276,276,707,401
2024-01-22,integer optimal solution,101,6.847246575288432e-05,6.847246575288432e-05,6.847246575288432e-05,0.0,1.977902889251709,213,0,309,308,308,707,401
2024-01-23,integer optimal solution,101,6.789613433418423e-05,6.789613433418423e-05,6.789613433418423e-05,0.0,1.9718811511993408,207,0,304,303,303,707,401
2024-01-24,integer optimal solution,101,6.748026377731985e-05,6.748026377731985e-05,6.748026377731985e-05,0.0,2.6171131134033203,206,0,389,388,388,707,401
2024-01-25,integer optimal solution,101,6.838872938697387e-05,6.838872938697387e-05,6.838872938697387e-05,0.0,2.5470430850982666,207,0,380,379,379,707,401
2024-01-26,integer optimal solution,101,6.854807226036025e-05,6.854807226036025e-05,6.854807226036025e-05,0.0,2.6988589763641357,208,0,407,406,406,707,401
2024-01-29,integer optimal solution,101,6.822074881760591e-05,6.822074881760591e-05,6.822074881760591e-05,0.0,2.814828872680664,209,0,409,408,408,707,401
2024-01-30,integer optimal solution,101,6.860607393932286e-05,6.860607393932286e-05,6.860607393932286e-05,0.0,1.6592950820922852,210,0,265,264,264,707,401
2024-01-31,integer optimal solution,101,6.875730822872934e-05,6.875730822872934e-05,6.875730822872934e-05,0.0,3.1712090969085693,209,0,467,466,466,707,401
2024-02-01,integer optimal solution,101,6.901421973768063e-05,6.901421973768063e-05,6.901421973768063e-05,0.0,3.693366050720215,213,0,528,527,527,707,401
2024-02-02,integer optimal solution,101,6.908503374892665e-05,6.908503374892665e-05,6.908503374892665e-05,0.0,2.111686944961548,208,0,331,330,330,707,401
2024-02-05,integer optimal solution,101,6.874957015512319e-05,6.874957015512319e-05,6.874957015512319e-05,0.0,1.9065439701080322,212,0,301,300,300,707,401
2024-02-06,integer optimal solution,101,6.861036859755287e-05,6.861036859755287e-05,6.861036859755287e-05,0.0,1.662390947341919,209,0,271,270,270,707,401
2024-02-07,integer optimal solution,101,6.832743785391698e-05,6.832743785391698e-05,6.832743785391698e-05,0.0,2.540536880493164,213,0,386,385,385,707,401
