,TAF-SSD-sectors BASIC_MATERIALS+CONSUMER_CYCLICALS+CONSUMER_NON_CYCLICALS+ENERGY+FINANCIALS+HEALTHCARE+INDUSTRIALS+REAL_ESTATE+TECHNOLOGY+TELECOMMUNICATIONS_SERVICES+UTILITIES
2024-01-02,1.0000000000000002
2024-01-03,1.003737629176059
2024-01-04,1.003798000494682
2024-01-05,1.0083322792504295
2024-01-08,1.0234352886750862
2024-01-09,1.029765726548636
2024-01-10,1.0329748868887674
2024-01-11,1.0425330203706604
2024-01-12,1.044512735938568
2024-01-16,1.0403428236220185
2024-01-17,1.0378344668761905
2024-01-18,1.041517238911254
2024-01-19,1.0683723148978053
2024-01-22,1.0738955666259642
2024-01-23,1.0755477845735097
2024-01-24,1.0831382866502763
2024-01-25,1.0926341062472393
2024-01-26,1.0939131505181365
2024-01-29,1.1036135176564852
2024-01-30,1.1091775483459887
2024-01-31,1.1179916731459534
2024-02-01,1.1463219385114838
2024-02-02,1.1600058745285253
2024-02-05,1.170150055200357
2024-02-06,1.1729031732076955
2024-02-07,1.1859863666348403
2024-02-08,1.1799466591361882
2024-02-09,1.1911951800653298
2024-02-12,1.1875746809575185
2024-02-13,1.1983260116101595
2024-02-14,1.2361792360018333
2024-02-15,1.267253526089794
2024-02-16,1.2413247074601415
2024-02-20,1.22939205066779
2024-02-21,1.217675187740988
2024-02-22,1.2796361049246767
2024-02-23,1.2770838148776316
2024-02-26,1.2813130443776934
2024-02-27,1.2916103379400168
2024-02-28,1.296820687614167
2024-02-29,1.316358035268528
2024-03-01,1.3363749020589055
2024-03-04,1.3814383837494855
2024-03-05,1.3890215801889012
2024-03-06,1.4079524335551974
2024-03-07,1.4206725095314456
2024-03-08,1.3995347414899546
2024-03-11,1.3672458436816661
2024-03-12,1.394000358169526
2024-03-13,1.404302662707516
2024-03-14,1.4155747587985708
2024-03-15,1.3968851912865894
2024-03-18,1.3988255368631826
2024-03-19,1.41424860304957
2024-03-20,1.4428199230843688
2024-03-21,1.4679165494392965
2024-03-22,1.4745897021755525
2024-03-25,1.495851584780424
2024-03-26,1.4705711762900535
2024-03-27,1.4765100859988154
2024-03-28,1.4858839173799918
2024-04-01,1.4997101943355882
2024-04-02,1.49290499787895
2024-04-03,1.5200106542345835
2024-04-04,1.4829760937794434
2024-04-05,1.5290696089830156
2024-04-08,1.5186317435822754
2024-04-09,1.473931881389424
2024-04-10,1.4793997781492088
2024-04-11,1.487669234636352
2024-04-12,1.4591500416235887
2024-04-15,1.4393219250577747
2024-04-16,1.4419855645692279
2024-04-17,1.4418357506237298
2024-04-18,1.4081429356045865
2024-04-19,1.3931894846815458
2024-04-22,1.405594717945417
2024-04-23,1.4286318363295691
2024-04-24,1.4434138779244543
2024-04-25,1.4606290295018638
2024-04-26,1.4681844864881355
2024-04-29,1.5096921427189811
2024-04-30,1.4760817619410858
2024-05-01,1.4710859255061475
2024-05-02,1.5007484908532307
2024-05-03,1.5113330568664909
2024-05-06,1.54004469445685
2024-05-07,1.5219292908294686
2024-05-08,1.5500187584106704
2024-05-09,1.5739185570045742
2024-05-10,1.584421707118768
2024-05-13,1.5642046319328367
2024-05-14,1.5788839389096327
2024-05-15,1.6077784012715288
2024-05-16,1.5828637247125041
2024-05-17,1.5893802200588325
2024-05-20,1.5788595798123748
2024-05-21,1.5980068620736632
2024-05-22,1.5843633527128693
2024-05-23,1.5828683204464364
2024-05-24,1.6279377756630906
2024-05-28,1.6304534866236444
2024-05-29,1.614414007622748
2024-05-30,1.6288629091045952
2024-05-31,1.608914469822849
