rank,synth_abs,synth_cum,benchmarks
1,-0.0123,-0.0123,"SP500, CMA, HML, MARKET, RMW, SMB"
2,-0.0107,-0.023,"SP500, CMA, HML, MARKET, RMW, SMB"
3,-0.0097,-0.0327,"SP500, CMA, HML, MARKET, RMW, SMB"
4,-0.0096,-0.0423,"SP500, CMA, HML, MARKET, RMW, SMB"
5,-0.0091,-0.0514,"SP500, CMA, HML, MARKET, RMW, SMB"
6,-0.0088,-0.060200000000000004,"SP500, CMA, HML, MARKET, RMW, SMB"
7,-0.0084,-0.06860000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
8,-0.0078,-0.07640000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
9,-0.0078,-0.08420000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
10,-0.0077,-0.09190000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
11,-0.0072,-0.09910000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
12,-0.0071,-0.1062,"SP500, CMA, HML, MARKET, RMW, SMB"
13,-0.007,-0.11320000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
14,-0.0068,-0.12000000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
15,-0.0067,-0.1267,"SP500, CMA, HML, MARKET, RMW, SMB"
16,-0.0066,-0.1333,"SP500, CMA, HML, MARKET, RMW, SMB"
17,-0.0065,-0.1398,"SP500, CMA, HML, MARKET, RMW, SMB"
18,-0.0064,-0.1462,"SP500, CMA, HML, MARKET, RMW, SMB"
19,-0.0055,-0.1517,"SP500, CMA, HML, MARKET, RMW, SMB"
20,-0.0053,-0.157,"SP500, CMA, HML, MARKET, RMW, SMB"
21,-0.0052,-0.1622,"SP500, CMA, HML, MARKET, RMW, SMB"
22,-0.0052,-0.16740000000000002,"SP500, CMA, HML, MARKET, RMW, SMB"
23,-0.0052,-0.17260000000000003,"SP500, CMA, HML, MARKET, RMW, SMB"
24,-0.0052,-0.17780000000000004,"SP500, CMA, HML, MARKET, RMW, SMB"
25,-0.0051,-0.18290000000000003,"SP500, CMA, HML, MARKET, RMW, SMB"
26,-0.0051,-0.18800000000000003,"SP500, CMA, HML, MARKET, RMW, SMB"
27,-0.0049,-0.19290000000000002,"SP500, CMA, HML, MARKET, RMW, SMB"
28,-0.0047,-0.19760000000000003,"SP500, CMA, HML, MARKET, RMW, SMB"
29,-0.0046,-0.20220000000000002,"SP500, CMA, HML, MARKET, RMW, SMB"
30,-0.0045,-0.2068,"SP500, CMA, HML, MARKET, RMW, SMB"
31,-0.0044,-0.2112,"SP500, CMA, HML, MARKET, RMW, SMB"
32,-0.0044,-0.21559999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
33,-0.0044,-0.21999999999999997,"SP500, CMA, HML, MARKET, RMW, SMB"
34,-0.0042,-0.22429999999999997,"SP500, CMA, HML, MARKET, RMW, SMB"
35,-0.0041,-0.22859999999999997,"SP500, CMA, HML, MARKET, RMW, SMB"
36,-0.0039,-0.23279999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
37,-0.0039,-0.23689999999999997,"SP500, CMA, HML, MARKET, RMW, SMB"
38,-0.0039,-0.24099999999999996,"SP500, CMA, HML, MARKET, RMW, SMB"
39,-0.0038,-0.24499999999999997,"SP500, CMA, HML, MARKET, RMW, SMB"
40,-0.0038,-0.24899999999999997,"SP500, CMA, HML, MARKET, RMW, SMB"
41,-0.0038,-0.25299999999999995,"SP500, CMA, HML, MARKET, RMW, SMB"
42,-0.0037,-0.25689999999999996,"SP500, CMA, HML, MARKET, RMW, SMB"
43,-0.0037,-0.2608,"SP500, CMA, HML, MARKET, RMW, SMB"
44,-0.0037,-0.2646,"SP500, CMA, HML, MARKET, RMW, SMB"
45,-0.0036,-0.2683,"SP500, CMA, HML, MARKET, RMW, SMB"
46,-0.0036,-0.27199999999999996,"SP500, CMA, HML, MARKET, RMW, SMB"
47,-0.0036,-0.27569999999999995,"SP500, CMA, HML, MARKET, RMW, SMB"
48,-0.0035,-0.27929999999999994,"SP500, CMA, HML, MARKET, RMW, SMB"
49,-0.0034,-0.28279999999999994,"SP500, CMA, HML, MARKET, RMW, SMB"
50,-0.0033,-0.28629999999999994,"SP500, CMA, HML, MARKET, RMW, SMB"
51,-0.0033,-0.28959999999999997,"SP500, CMA, HML, MARKET, RMW, SMB"
52,-0.0033,-0.2929,"SP500, CMA, HML, MARKET, RMW, SMB"
53,-0.0032,-0.2962,"SP500, CMA, HML, MARKET, RMW, SMB"
54,-0.0031,-0.2993,"SP500, CMA, HML, MARKET, RMW, SMB"
55,-0.0028650895874316146,-0.3023,"SP500, CMA, HML, MARKET, RMW, SMB"
56,-0.002826470928816088,-0.3052,"SP500, CMA, HML, MARKET, RMW, SMB"
57,-0.0027774633674034458,-0.30800000000000005,"SP500, CMA, HML, MARKET, RMW, SMB"
58,-0.0027095842635727124,-0.3108000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
59,-0.0026650918726684202,-0.3136000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
60,-0.0025479738611559415,-0.3163000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
61,-0.0024923669099066134,-0.3189000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
62,-0.0022955889145497245,-0.32150000000000006,"SP500, CMA, HML, MARKET, RMW, SMB"
63,-0.0021510128886978656,-0.32400000000000007,"SP500, CMA, HML, MARKET, RMW, SMB"
64,-0.0020693787561017938,-0.32650000000000007,"SP500, CMA, HML, MARKET, RMW, SMB"
65,-0.0020209439725938885,-0.32900000000000007,"SP500, CMA, HML, MARKET, RMW, SMB"
66,-0.002003586752111904,-0.3314000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
67,-0.001968314049017602,-0.3338000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
68,-0.0019541425712555917,-0.3362000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
69,-0.0016966192878881679,-0.3386000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
70,-0.001685589481194462,-0.34090000000000015,"SP500, CMA, HML, MARKET, RMW, SMB"
71,-0.0015969230211074809,-0.3431000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
72,-0.0015832973843321887,-0.3453000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
73,-0.001573841052110284,-0.3475000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
74,-0.0014458618380373226,-0.3496000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
75,-0.0013040398710054983,-0.3516000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
76,-0.0010696983087364078,-0.3536000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
77,-0.0010244033312343335,-0.3556000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
78,-0.0009462357829444647,-0.3575000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
79,-0.0008358322158781778,-0.3594000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
80,-0.000568867672792563,-0.3611000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
81,-0.00038611529495272086,-0.36280000000000007,"SP500, CMA, HML, MARKET, RMW, SMB"
82,-0.0003540782907914565,-0.36450000000000005,"SP500, CMA, HML, MARKET, RMW, SMB"
83,-0.0001554474478156429,-0.36610000000000004,"SP500, CMA, HML, MARKET, RMW, SMB"
84,-0.00014870628846844932,-0.36760000000000004,"SP500, CMA, HML, MARKET, RMW, SMB"
85,-9.824791073421284e-05,-0.36900000000000005,"SP500, CMA, HML, MARKET, RMW, SMB"
86,-8.426256214355692e-05,-0.37040000000000006,"SP500, CMA, HML, MARKET, RMW, SMB"
87,-7.6257273522036e-05,-0.37160000000000004,"SP500, CMA, HML, MARKET, RMW, SMB"
88,-4.1371490210099456e-05,-0.37270000000000003,"SP500, CMA, HML, MARKET, RMW, SMB"
89,1.6597509584161503e-05,-0.3738,"SP500, CMA, HML, MARKET, RMW, SMB"
90,7.936008579001179e-05,-0.3749,"SP500, CMA, HML, MARKET, RMW, SMB"
91,0.00015503413661332915,-0.3759,"SP500, CMA, HML, MARKET, RMW, SMB"
92,0.00022931863023385572,-0.3769,"SP500, CMA, HML, MARKET, RMW, SMB"
93,0.0002507100953285001,-0.3779,"SP500, CMA, HML, MARKET, RMW, SMB"
94,0.00032408866573700707,-0.3788,"SP500, CMA, HML, MARKET, RMW, SMB"
95,0.00037017052166490465,-0.37960000000000005,"SP500, CMA, HML, MARKET, RMW, SMB"
96,0.0004521245089151026,-0.3803,"SP500, CMA, HML, MARKET, RMW, SMB"
97,0.0005968678407049224,-0.3809,"SP500, CMA, HML, MARKET, RMW, SMB"
98,0.0007212964785137545,-0.3815,"SP500, CMA, HML, MARKET, RMW, SMB"
99,0.0008194076378587953,-0.3821,"SP500, CMA, HML, MARKET, RMW, SMB"
100,0.0008515744450249489,-0.3826,"SP500, CMA, HML, MARKET, RMW, SMB"
101,0.0008552219947015113,-0.3831,"SP500, CMA, HML, MARKET, RMW, SMB"
102,0.0009031936248575528,-0.3836,"SP500, CMA, HML, MARKET, RMW, SMB"
103,0.0009801051337958847,-0.3841,"SP500, CMA, HML, MARKET, RMW, SMB"
104,0.0009963167049125078,-0.3844,"SP500, CMA, HML, MARKET, RMW, SMB"
105,0.0010049150828598367,-0.38470000000000004,"SP500, CMA, HML, MARKET, RMW, SMB"
106,0.0011480624440519769,-0.38500000000000006,"SP500, CMA, HML, MARKET, RMW, SMB"
107,0.0012,-0.38520000000000004,"SP500, CMA, HML, MARKET, RMW, SMB"
108,0.0013,-0.38520000000000004,"SP500, CMA, HML, MARKET, RMW, SMB"
109,0.0015,-0.38520000000000004,"SP500, CMA, HML, MARKET, RMW, SMB"
110,0.0016,-0.38510000000000005,"SP500, CMA, HML, MARKET, RMW, SMB"
111,0.0017,-0.38500000000000006,"SP500, CMA, HML, MARKET, RMW, SMB"
112,0.0018,-0.3849000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
113,0.002,-0.3847000000000001,"SP500, CMA, HML, MARKET, RMW, SMB"
114,0.002,-0.3842999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
115,0.0021,-0.3828999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
116,0.0025,-0.3813999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
117,0.0025,-0.3798999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
118,0.0025,-0.3782999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
119,0.0026,-0.3766999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
120,0.0026,-0.3748999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
121,0.0027,-0.3730999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
122,0.0028,-0.37129999999999985,"SP500, CMA, HML, MARKET, RMW, SMB"
123,0.0031,-0.36939999999999984,"SP500, CMA, HML, MARKET, RMW, SMB"
124,0.0032,-0.3674999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
125,0.0032,-0.3655999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
126,0.0033,-0.3635999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
127,0.0034,-0.3615999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
128,0.0035791541025322685,-0.3595999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
129,0.003698844728218521,-0.3574999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
130,0.0037107995233466562,-0.3553999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
131,0.0037840670027980933,-0.35319999999999985,"SP500, CMA, HML, MARKET, RMW, SMB"
132,0.0038331744459454494,-0.35079999999999983,"SP500, CMA, HML, MARKET, RMW, SMB"
133,0.0039,-0.34829999999999983,"SP500, CMA, HML, MARKET, RMW, SMB"
134,0.0041,-0.34579999999999983,"SP500, CMA, HML, MARKET, RMW, SMB"
135,0.0042,-0.3432999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
136,0.0042,-0.3407999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
137,0.0043,-0.33819999999999983,"SP500, CMA, HML, MARKET, RMW, SMB"
138,0.0044,-0.33549999999999985,"SP500, CMA, HML, MARKET, RMW, SMB"
139,0.0045,-0.3327999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
140,0.0046,-0.3300999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
141,0.0047,-0.32729999999999987,"SP500, CMA, HML, MARKET, RMW, SMB"
142,0.0047,-0.32429999999999987,"SP500, CMA, HML, MARKET, RMW, SMB"
143,0.0048,-0.3211999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
144,0.0049,-0.3179999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
145,0.005207972709669435,-0.3144999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
146,0.00563980226503778,-0.3108999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
147,0.0057152644808155136,-0.3070999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
148,0.0059,-0.30319999999999986,"SP500, CMA, HML, MARKET, RMW, SMB"
149,0.0059,-0.29919999999999985,"SP500, CMA, HML, MARKET, RMW, SMB"
150,0.0061,-0.2949999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
151,0.0063,-0.2907999999999999,"SP500, CMA, HML, MARKET, RMW, SMB"
152,0.0063,-0.28649999999999987,"SP500, CMA, HML, MARKET, RMW, SMB"
153,0.0064,-0.28219999999999984,"SP500, CMA, HML, MARKET, RMW, SMB"
154,0.0064,-0.2778999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
155,0.0065,-0.2734999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
156,0.0067179654385095666,-0.2690999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
157,0.006723469633202974,-0.2645999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
158,0.0071,-0.2599999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
159,0.0072,-0.2552999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
160,0.0073,-0.2504999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
161,0.0074,-0.2455999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
162,0.0074,-0.2406999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
163,0.0076,-0.2355999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
164,0.0077,-0.23049999999999982,"SP500, CMA, HML, MARKET, RMW, SMB"
165,0.007968189142521296,-0.2252999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
166,0.008109753839872563,-0.2199999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
167,0.00825320690502115,-0.2143999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
168,0.008429928738380867,-0.2086999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
169,0.008470134857870185,-0.2028999999999998,"SP500, CMA, HML, MARKET, RMW, SMB"
170,0.008757593299171227,-0.19614896438706192,"SP500, CMA, HML, MARKET, RMW, SMB"
171,0.008918409884962819,-0.1872305545020991,"SP500, CMA, HML, MARKET, RMW, SMB"
172,0.00902408018812203,-0.17820647431397707,"SP500, CMA, HML, MARKET, RMW, SMB"
173,0.009321145822872572,-0.1688853284911045,"SP500, CMA, HML, MARKET, RMW, SMB"
174,0.0094,-0.15949161184070942,"SP500, CMA, HML, MARKET, RMW, SMB"
175,0.0099,-0.15004655957766067,"SP500, CMA, HML, MARKET, RMW, SMB"
176,0.0102,-0.14019211597240497,"SP500, CMA, HML, MARKET, RMW, SMB"
177,0.0108,-0.1303142786104668,"SP500, CMA, HML, MARKET, RMW, SMB"
178,0.0109,-0.12001281129324828,"SP500, CMA, HML, MARKET, RMW, SMB"
179,0.011,-0.10950680192198535,"SP500, CMA, HML, MARKET, RMW, SMB"
180,0.0114,-0.0989124320328335,"SP500, CMA, HML, MARKET, RMW, SMB"
181,0.0114,-0.08786754315202808,"SP500, CMA, HML, MARKET, RMW, SMB"
182,0.011455870720236504,-0.07641167243179157,"SP500, CMA, HML, MARKET, RMW, SMB"
183,0.01181490285344007,-0.0645967695783515,"SP500, CMA, HML, MARKET, RMW, SMB"
184,0.0121,-0.0527059446947576,"SP500, CMA, HML, MARKET, RMW, SMB"
185,0.0121,-0.04069592402646739,"SP500, CMA, HML, MARKET, RMW, SMB"
186,0.0122,-0.028517786484272147,"SP500, CMA, HML, MARKET, RMW, SMB"
187,0.0132,-0.01624876854546225,"SP500, CMA, HML, MARKET, RMW, SMB"
188,0.0132,-0.0032665871082658837,"SP500, CMA, HML, MARKET, RMW, SMB"
189,0.0139,0.009782497176537074,"SP500, CMA, HML, MARKET, RMW, SMB"
190,0.0139,0.02304517145163817,"SP500, CMA, HML, MARKET, RMW, SMB"
191,0.0151,0.03669583735810636,"SP500, CMA, HML, MARKET, RMW, SMB"
192,0.0151,0.05093312165255125,"SP500, CMA, HML, MARKET, RMW, SMB"
193,0.0173,0.06536966886789844,"SP500, CMA, HML, MARKET, RMW, SMB"
194,0.0174,0.07987797046403543,"SP500, CMA, HML, MARKET, RMW, SMB"
195,0.0184,0.09441239579251046,"SP500, CMA, HML, MARKET, RMW, SMB"
196,0.0189,0.11002882843270673,"SP500, CMA, HML, MARKET, RMW, SMB"
197,0.0192,0.12850357247513738,"SP500, CMA, HML, MARKET, RMW, SMB"
198,0.0223,0.14736212417006242,"SP500, CMA, HML, MARKET, RMW, SMB"
199,0.0225,0.16643714401909607,"SP500, CMA, HML, MARKET, RMW, SMB"
200,0.0323,0.1860032918646282,"SP500, CMA, HML, MARKET, RMW, SMB"
