,SCM-SSD-sectors BASIC_MATERIALS+CONSUMER_CYCLICALS+CONSUMER_NON_CYCLICALS+ENERGY+FINANCIALS+HEALTHCARE+INDUSTRIALS+REAL_ESTATE+TECHNOLOGY+TELECOMMUNICATIONS_SERVICES+UTILITIES
2024-01-02,1.0
2024-01-03,1.003694887773179
2024-01-04,1.0036125762994788
2024-01-05,1.008255455582361
2024-01-08,1.023320544148702
2024-01-09,1.029238200602149
2024-01-10,1.0319315167753773
2024-01-11,1.0411726519765319
2024-01-12,1.0429828242534167
2024-01-16,1.0388517442770493
2024-01-17,1.0365649443106937
2024-01-18,1.040124150259763
2024-01-19,1.0676630420977395
2024-01-22,1.0736338188263062
2024-01-23,1.0750104999370103
2024-01-24,1.082382708994312
2024-01-25,1.0921615683710366
2024-01-26,1.0935181641240335
2024-01-29,1.1032529096873676
2024-01-30,1.1084357557714055
2024-01-31,1.117035859109348
2024-02-01,1.1452919232800098
2024-02-02,1.1589747231076135
2024-02-05,1.169216903579206
2024-02-06,1.1719817227391185
2024-02-07,1.1850870766177595
2024-02-08,1.1793010962881088
2024-02-09,1.1904634567744294
2024-02-12,1.1868415784968513
2024-02-13,1.197507287325829
2024-02-14,1.2355098267088558
2024-02-15,1.266602479587962
2024-02-16,1.2407996985320588
2024-02-20,1.228791634107894
2024-02-21,1.2170670521587246
2024-02-22,1.2787176012059203
2024-02-23,1.2761199350051968
2024-02-26,1.2803224988564936
2024-02-27,1.2905739599884478
2024-02-28,1.2957430491041992
2024-02-29,1.3152056139494896
2024-03-01,1.3352712405020442
2024-03-04,1.3802652070367565
2024-03-05,1.38745232519906
2024-03-06,1.406586831802626
2024-03-07,1.4195768903831076
2024-03-08,1.3980128558194123
2024-03-11,1.3658077050316217
2024-03-12,1.392589696115187
2024-03-13,1.4028440773947015
2024-03-14,1.4142469536393198
2024-03-15,1.3954382807348424
2024-03-18,1.3975576900842952
2024-03-19,1.4129315940689058
2024-03-20,1.4414859429936233
2024-03-21,1.4667123720393869
2024-03-22,1.4732861478484538
2024-03-25,1.4946102055628192
2024-03-26,1.4690005512664757
2024-03-27,1.474862245008952
2024-03-28,1.4843620905116257
2024-04-01,1.4982266684020586
2024-04-02,1.4915064992718934
2024-04-03,1.5186788412946393
2024-04-04,1.4819010661475835
2024-04-05,1.5279275416737381
2024-04-08,1.5173310046004909
2024-04-09,1.4724947964422288
2024-04-10,1.477893951746053
2024-04-11,1.4861766019683376
2024-04-12,1.4575512997955242
2024-04-15,1.4377779662909245
2024-04-16,1.4402013994877008
2024-04-17,1.4402136091879787
2024-04-18,1.4065418514710395
2024-04-19,1.391692595224325
2024-04-22,1.4042665704103308
2024-04-23,1.4272716408733208
2024-04-24,1.4419830984885846
2024-04-25,1.459268369115619
2024-04-26,1.4667032975261147
2024-04-29,1.508180309784022
2024-04-30,1.4741993983565294
2024-05-01,1.4692663156541754
2024-05-02,1.498924384341988
2024-05-03,1.5097322026582254
2024-05-06,1.5382734904444753
2024-05-07,1.5195934448062938
2024-05-08,1.548082396080361
2024-05-09,1.5728319167798632
2024-05-10,1.5836821234150797
2024-05-13,1.5634103292229862
2024-05-14,1.5781976290446493
2024-05-15,1.607223121534257
2024-05-16,1.5822205423015505
2024-05-17,1.5885485460857331
2024-05-20,1.578034956355074
2024-05-21,1.5972637673145857
2024-05-22,1.5838838308401408
2024-05-23,1.5822959112431871
2024-05-24,1.6276077546206162
2024-05-28,1.6301127550362897
2024-05-29,1.6142324070261769
2024-05-30,1.6283707485933494
2024-05-31,1.6080350133883414
