date,status,status_code,objective,V,best_bound,mip_gap,solve_time_s,n_iterations,n_nodes,n_lazy_calls,n_lazy_cuts,cplex_cuts,n_variables,n_constraints
2024-01-02,integer optimal solution,101,0.0014619615658608897,0.0014619615658608897,0.0014619615658608897,0.0,13.824860095977783,2204,0,297,939,939,2707,4401
2024-01-03,integer optimal solution,101,0.0015281834140299156,0.0015281834140299156,0.0015281834140299156,0.0,11.773116827011108,2203,0,276,836,836,2707,4401
2024-01-04,integer optimal solution,101,0.001554202487831525,0.001554202487831525,0.001554202487831525,0.0,10.73715090751648,2203,0,237,996,996,2707,4401
2024-01-05,integer optimal solution,101,0.0015839025875065153,0.0015839025875065153,0.0015839025875065153,0.0,9.361227035522461,2203,0,213,792,792,2707,4401
2024-01-08,integer optimal solution,101,0.001564011987348853,0.001564011987348853,0.001564011987348853,0.0,9.158493041992188,2204,0,214,794,794,2707,4401
2024-01-09,integer optimal solution,101,0.0016725559677330485,0.0016725559677330485,0.0016725559677330485,0.0,8.491325855255127,2204,0,206,589,589,2707,4401
2024-01-10,integer optimal solution,101,0.0016244452823581854,0.0016244452823581854,0.0016244452823581854,0.0,7.716907024383545,2204,0,180,737,737,2707,4401
2024-01-11,integer optimal solution,101,0.0016622230104111064,0.0016622230104111064,0.0016622230104111064,0.0,7.567909002304077,2204,0,185,573,573,2707,4401
2024-01-12,integer optimal solution,101,0.0016478487015718505,0.0016478487015718505,0.0016478487015718505,0.0,7.802700042724609,2203,0,185,636,636,2707,4401
2024-01-16,integer optimal solution,101,0.00171185520182001,0.00171185520182001,0.00171185520182001,0.0,7.638595104217529,2204,0,184,603,603,2707,4401
2024-01-17,integer optimal solution,101,0.0017588968302551774,0.0017588968302551774,0.0017588968302551774,0.0,8.036647081375122,2203,0,191,720,720,2707,4401
2024-01-18,integer optimal solution,101,0.0017311879213222903,0.0017311879213222903,0.0017311879213222903,0.0,6.770581960678101,2204,0,169,557,557,2707,4401
2024-01-19,integer optimal solution,101,0.0016817778623568502,0.0016817778623568502,0.0016817778623568502,0.0,8.797511100769043,2204,0,215,660,660,2707,4401
2024-01-22,integer optimal solution,101,0.0016361180220486893,0.0016361180220486893,0.0016361180220486893,0.0,8.525724172592163,2204,0,211,628,628,2707,4401
2024-01-23,integer optimal solution,101,0.0015409879432970214,0.0015409879432970214,0.0015409879432970214,0.0,8.540859937667847,2204,0,206,721,721,2707,4401
2024-01-24,integer optimal solution,101,0.001580296072046676,0.001580296072046676,0.001580296072046676,0.0,8.416008949279785,2203,0,196,757,757,2707,4401
2024-01-25,integer optimal solution,101,0.0016376207761312762,0.0016376207761312762,0.0016376207761312762,0.0,9.141624927520752,2205,0,218,695,695,2707,4401
2024-01-26,integer optimal solution,101,0.0016731858061442108,0.0016731858061442108,0.0016731858061442108,0.0,8.587126016616821,2205,0,197,801,801,2707,4401
2024-01-29,integer optimal solution,101,0.0016535417181551236,0.0016535417181551236,0.0016535417181551236,0.0,9.625874042510986,2205,0,221,912,912,2707,4401
2024-01-30,integer optimal solution,101,0.0017236658004232382,0.0017236658004232382,0.0017236658004232382,0.0,7.523032188415527,2205,0,173,765,765,2707,4401
